Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
EUR,Che FC Ristorante di pesce,4.9,294,4.9(294) · €20–30,"Che FC Ristorante di pesce
4.9(294) · €20–30
Italian ·  · Via Ascanio Sobrero, 2
Closed ⋅ Opens 10:30 AM",10.583579767338682,True
EUR,Osteria da Fortunata - Pantheon,4.8,3073,"4.8(3,073) · €20–30","Osteria da Fortunata - Pantheon
4.8(3,073) · €20–30
Restaurant ·  · Piazza della Rotonda, 6
Closed ⋅ Opens 11:30 AM",12.830409562130484,True
EUR,Locanda Alla Romana,4.8,1825,"4.8(1,825) · €20–40","Locanda Alla Romana
4.8(1,825) · €20–40
Italian ·  · Via Vitaliano Brunelli, 49
Closed ⋅ Opens 1 PM",12.309335266016593,True
EUR,Vent8posti di Alessandro Onori,4.8,624,4.8(624) · €20–30,"Vent8posti di Alessandro Onori
4.8(624) · €20–30
Restaurant ·  · Via Gerolamo Cardano, 105
Closed ⋅ Opens 12 PM",11.236150368369428,True
EUR,Rosina Cucina Di Casa,4.8,466,4.8(466) · €20–30,"Rosina Cucina Di Casa
4.8(466) · €20–30
Restaurant · Vicolo delle Grotte, 27
Closed ⋅ Opens 12 PM",10.944185634125645,True
EUR,Nannarella,4.7,33199,"4.7(33,199) · €20–30","Nannarella
4.7(33,199) · €20–30
Roman ·  · Piazza di S. Calisto, 7/a
Classic locale for pizza & wine
Closed ⋅ Opens 11:30 AM",15.110275033969021,True
EUR,Goki San Paolo,4.7,3362,"4.7(3,362) · €20–30","Goki San Paolo
4.7(3,362) · €20–30
Sushi ·  · Viale Giustiniano Imperatore, 17A
Closed ⋅ Opens 12:30 PM",12.82029131396856,True
EUR,Ar Monte Testaccio,4.7,1497,"4.7(1,497) · €20–30","Ar Monte Testaccio
4.7(1,497) · €20–30
Restaurant ·  · Via Nicola Zabaglia, 28
Closed ⋅ Opens 12 PM",12.011218384419628,True
EUR,La Taverna Del Vicolo Roma,4.7,1466,"4.7(1,466) · €20–30","La Taverna Del Vicolo Roma
4.7(1,466) · €20–30
Restaurant ·  · Via Pietro Mengoli, 7
Closed ⋅ Opens 1 PM",11.990292882446596,True
EUR,Cuoco & Camicia,4.7,796,4.7(796) · $$,"Cuoco & Camicia
4.7(796) · $$
Italian ·  · Via di Monte Polacco, 2/4
Refined Roman cuisine & tasting menus
Closed ⋅ Opens 6:30 PM Tue",11.379599185844384,True
EUR,Come 'na Vorta Pasta e Vino - Palombella,4.7,784,4.7(784) · €10–20,"Come 'na Vorta Pasta e Vino - Palombella
4.7(784) · €10–20
Restaurant ·  · Via della Palombella, 34
Closed ⋅ Opens 10 AM",11.364409020350408,True
EUR,Zia Restaurant,4.7,557,4.7(557) · €100+,"Zia Restaurant
4.7(557) · €100+
Fine Dining ·  · Via Goffredo Mameli, 45
High-concept menu in a refined spot
Closed ⋅ Opens 7 PM Tue",11.022565239927285,True
EUR,La Piccola Trattoria da Me,4.7,538,4.7(538) · €10–20,"La Piccola Trattoria da Me
4.7(538) · €10–20
Restaurant ·  · Via Rocco da Cesinale, 8
Closed ⋅ Opens 1 PM",10.987858560161785,True
EUR,Nomisan Sushi Restaurant Giapponese,4.7,429,4.7(429) · $$$,"Nomisan Sushi Restaurant Giapponese
4.7(429) · $$$
Sushi ·  · Viale Gianluigi Bonelli, 237
Closed ⋅ Opens 6:30 PM Mon",10.761456918928017,True
