Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Esquilino,Quel che c’è laboratorio Di Cucina,4.9,1268,"4.9(1,268) · €10–20","Quel che c’è laboratorio Di Cucina
4.9(1,268) · €10–20
Restaurant · Via Torino, 129
Closed ⋅ Opens 12:30 PM Mon",12.045196134997171,True
Esquilino,PanDivino - Focacceria Taperia,4.9,1063,"4.9(1,063) · €1–10","PanDivino - Focacceria Taperia
4.9(1,063) · €1–10
Sandwich ·  · Via del Paradiso, 39
Snug locale for light bites & desserts
Closed ⋅ Opens 12 PM",11.868850378341948,True
Esquilino,Tonnarello Scala,4.8,12456,"4.8(12,456) · €10–20","Tonnarello Scala
4.8(12,456) · €10–20
Restaurant ·  · Piazza della Scala, 19/21
Closed ⋅ Opens 11 AM",14.229957713513834,True
Esquilino,Pane e Salame,4.8,6979,"4.8(6,979) · €10–20","Pane e Salame
4.8(6,979) · €10–20
Italian ·  · Via Santa Maria in Via, 19
Hole-in-the-wall spot for cheese & wine
Closed ⋅ Opens 12 PM",13.650660919017152,True
Esquilino,Osteria Del Rione,4.8,889,4.8(889) · €10–20,"Osteria Del Rione
4.8(889) · €10–20
Roman ·  · Via Basento, 20
Closed ⋅ Opens 12:30 PM Mon",11.590097235513905,True
Esquilino,Trattoria Manzoni Risto Pub,4.8,382,4.8(382) · €10–20,"Trattoria Manzoni Risto Pub
4.8(382) · €10–20
Restaurant ·  · Viale Manzoni, 93
Closed ⋅ Opens 10 AM",10.745420608606576,True
Esquilino,Bar do' Brasil,4.8,361,4.8(361) · €1–10,"Bar do' Brasil
4.8(361) · €1–10
Bar ·  · Via di S. Vito, 4/4a
Closed ⋅ Opens 9 AM",10.688877958332881,True
Esquilino,Iari The Vino,4.7,6902,"4.7(6,902) · €20–30","Iari The Vino
4.7(6,902) · €20–30
Restaurant ·  · Via Frangipane, 27
Warm eatery offering outdoor seating
Closed ⋅ Opens 12 PM",13.539566503657948,True
Esquilino,Gandhi 2 Indian Restaurant,4.7,6032,"4.7(6,032) · €20–30","Gandhi 2 Indian Restaurant
4.7(6,032) · €20–30
Indian ·  · Via Genova, 29/A
Warm Indian venue with veggie options
Closed ⋅ Opens 12 PM",13.404833909687792,True
Esquilino,al42 by Pasta Chef rione Monti,4.7,5673,"4.7(5,673) · €10–20","al42 by Pasta Chef rione Monti
4.7(5,673) · €10–20
Italian ·  · Via Baccina, 42
Basic setup for pasta & steaks
Closed ⋅ Opens 12:30 PM",13.343473357326566,True
Esquilino,Nerone,4.7,3399,"4.7(3,399) · €20–30","Nerone
4.7(3,399) · €20–30
Restaurant ·  · Via del Viminale, 7A
Closed ⋅ Opens 4:30 PM Mon",12.831236549696115,True
Esquilino,Pinsere,4.7,3300,"4.7(3,300) · €1–10","Pinsere
4.7(3,300) · €1–10
Pizza · Via Flavia, 98
Casual stop for small pizzas & beer
Closed ⋅ Opens 10 AM Mon",12.801677747454573,True
Esquilino,La Prezzemolina,4.7,2607,"4.7(2,607) · €1–10","La Prezzemolina
4.7(2,607) · €1–10
Pizza · Via del Colosseo, 1 E/F
Unfussy pizzeria for Italian grub
Closed ⋅ Opens 11 AM",12.565955413933501,True
Esquilino,Osteria La Sol Fa,4.7,2582,"4.7(2,582) · €20–30","Osteria La Sol Fa
4.7(2,582) · €20–30
Roman ·  · Via Germano Sommeiller, 19
Simple pick for regional classics
Closed ⋅ Opens 12:30 PM Mon",12.556319571406588,True
Esquilino,Mizio's Street Food,4.7,1933,"4.7(1,933) · €1–10","Mizio's Street Food
4.7(1,933) · €1–10
Sandwich · Via degli Zingari, 54 a
Closed ⋅ Opens 9 AM",12.266828479208332,True
Esquilino,Ristorante Virginiae - Cucina Tipica Romana,4.7,1779,"4.7(1,779) · €20–30","Ristorante Virginiae - Cucina Tipica Romana
4.7(1,779) · €20–30
Roman · Via di Parione, 41
Regional Italian classics & a terrace
Closed ⋅ Opens 12 PM",12.183806687665836,True
Esquilino,La Pecora Pazza,4.7,1368,"4.7(1,368) · €10–20","La Pecora Pazza
4.7(1,368) · €10–20
Restaurant · Via Statilia, 35
Mellow spot for Calabrian fare & pizza
Closed ⋅ Opens 6 PM",11.921105098182496,True
Esquilino,Vuliò,4.7,904,4.7(904) · €10–20,"Vuliò
4.7(904) · €10–20
Sandwich ·  · Via degli Scipioni, 55
Closed ⋅ Opens 11 AM",11.506829360392176,True
Esquilino,Matermatuta,4.7,658,4.7(658) · $$$,"Matermatuta
4.7(658) · $$$
Restaurant ·  · Via Palermo, 51
Chic setting for upscale seafood
Closed ⋅ Opens 7 PM Mon",11.189204931325317,True
Esquilino,Hoppiness,4.7,338,4.7(338) · €10–20,"Hoppiness
4.7(338) · €10–20
Bistro ·  · Viale Carlo Felice, 55/57
Closed ⋅ Opens 6 PM Mon",10.523045895483019,True
Esquilino,Ristorante Pizzeria Mino,4.6,7535,"4.6(7,535) · €10–20","Ristorante Pizzeria Mino
4.6(7,535) · €10–20
Restaurant ·  · Via Milazzo, 18, Via Magenta, 48
Open ⋅ Closes 12 AM",13.527314111060596,True
Esquilino,La locanda del tempio,4.6,6665,"4.6(6,665) · €20–30","La locanda del tempio
4.6(6,665) · €20–30
Roman ·  · Via di Pietra, 85
Closed ⋅ Opens 11 AM",13.404625232612808,True
Esquilino,Benso 215,4.6,4615,"4.6(4,615) · €20–30","Benso 215
4.6(4,615) · €20–30
Restaurant ·  · Via Cavour, 215
Wine & hearty eats in a classic eatery
Closed ⋅ Opens 9 AM",13.037067146936952,True
Esquilino,Ce Stamo A Pensà,4.6,3669,"4.6(3,669) · €10–20","Ce Stamo A Pensà
4.6(3,669) · €10–20
Southern Italian ·  · Via Leonina, 81
Snug stop for Southern Italian staples
Closed ⋅ Opens 11 AM",12.807674424355282,True
Esquilino,Taverna dei migliori,4.6,3652,"4.6(3,652) · €20–30","Taverna dei migliori
4.6(3,652) · €20–30
Italian ·  · Viale Manzoni, 107
Cozy trattoria for Roman specialties
Closed ⋅ Opens 12 PM",12.80303024171486,True
