Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Ostiense,Celio Bistrot,4.9,311,4.9(311) · €20–40,"Celio Bistrot
4.9(311) · €20–40
Restaurant ·  · Via Celimontana, 21
Closed ⋅ Opens 12 PM",10.639792912179235,True
Ostiense,Che FC Ristorante di pesce,4.9,294,4.9(294) · €20–30,"Che FC Ristorante di pesce
4.9(294) · €20–30
Italian ·  · Via Ascanio Sobrero, 2
Closed ⋅ Opens 10:30 AM",10.583579767338682,True
Ostiense,"""DOC"" EnoBistrot - Cruderia & Cucina",4.8,891,4.8(891) · €20–30,"""DOC"" EnoBistrot - Cruderia & Cucina
4.8(891) · €20–30
Restaurant · Via Giuseppe Giulietti, 5
Elevated classics in an intimate eatery
Closed ⋅ Opens 12:30 PM",11.59234442747081,True
Ostiense,Bacetto Bistrot,4.8,442,4.8(442) · €20–30,"Bacetto Bistrot
4.8(442) · €20–30
Restaurant ·  · Via Ostiense, 177/a
Closed ⋅ Opens 12:30 PM",10.891309882077698,True
Ostiense,Gandhi 2 Indian Restaurant,4.7,6032,"4.7(6,032) · €20–30","Gandhi 2 Indian Restaurant
4.7(6,032) · €20–30
Indian ·  · Via Genova, 29/A
Warm Indian venue with veggie options
Closed ⋅ Opens 12 PM",13.404833909687792,True
Ostiense,Supplì Roma,4.7,4437,"4.7(4,437) · €1–10","Supplì Roma
4.7(4,437) · €1–10
Pizza ·  · Via di S. Francesco a Ripa, 137
Takeaway stop for pasta, meats & pizza
Closed ⋅ Opens 10 AM Mon",13.097733751378911,True
Ostiense,Goki San Paolo,4.7,3362,"4.7(3,362) · €20–30","Goki San Paolo
4.7(3,362) · €20–30
Sushi ·  · Viale Giustiniano Imperatore, 17A
Closed ⋅ Opens 12:30 PM",12.82029131396856,True
Ostiense,La Taverna Del Vicolo Roma,4.7,1466,"4.7(1,466) · €20–30","La Taverna Del Vicolo Roma
4.7(1,466) · €20–30
Restaurant ·  · Via Pietro Mengoli, 7
Closed ⋅ Opens 1 PM",11.990292882446596,True
Ostiense,I Gemelli,4.7,813,4.7(813) · €1–10,"I Gemelli
4.7(813) · €1–10
Pizza ·  · Largo Beato Placido Riccardi, 4
Closed ⋅ Opens 7:30 AM Mon",11.40073110954781,True
Ostiense,La Piccola Trattoria da Me,4.7,538,4.7(538) · €10–20,"La Piccola Trattoria da Me
4.7(538) · €10–20
Restaurant ·  · Via Rocco da Cesinale, 8
Closed ⋅ Opens 1 PM",10.987858560161785,True
Ostiense,YaLùz,4.7,462,4.7(462) · €10–20,"YaLùz
4.7(462) · €10–20
Restaurant ·  · Box n.30 Mercato, Via di Santa Galla
Closed ⋅ Opens 11 AM Mon",10.835564891081738,True
Ostiense,ONE SENSE by Valla,4.7,462,4.7(462) · €30–40,"ONE SENSE by Valla
4.7(462) · €30–40
Restaurant ·  · Via Alessandro Cialdi, 35
Temporarily closed",10.835564891081738,True
Ostiense,I Goliardi Roma,4.7,434,4.7(434) · $$,"I Goliardi Roma
4.7(434) · $$
Restaurant ·  · Via Sardegna, 28
Closed ⋅ Opens 12 PM",10.773044534100405,True
Ostiense,Pasta in Corso Cavour-Prati,4.7,407,4.7(407) · €10–20,"Pasta in Corso Cavour-Prati
4.7(407) · €10–20
Restaurant ·  · Piazza Camillo Benso Conte di Cavour, 17/B
Opens soon ⋅ 8 AM",10.708813185442594,True
Ostiense,Cappuccino Doc,4.7,323,4.7(323) · €1–10,"Cappuccino Doc
4.7(323) · €1–10
Cafe ·  · Via Ostiense, 71F
Open ⋅ Closes 2 PM",10.477652323222657,True
Ostiense,Il Mulino ai quattro venti,4.7,315,4.7(315) · €30–40,"Il Mulino ai quattro venti
4.7(315) · €30–40
Restaurant · Via Andrea Busiri Vici, 48
Closed ⋅ Opens 12:30 PM",10.452572638825632,True
Ostiense,Kombinini,4.7,295,4.7(295) · $,"Kombinini
4.7(295) · $
Asian grocery store · Via Gaspare Gozzi, 51
Snug Asian market & take-out joint
Closed ⋅ Opens 11:30 AM Mon",10.386975356339821,True
Ostiense,Barbarossa BeerFood Roma,4.7,260,4.7(260) · €20–30,"Barbarossa BeerFood Roma
4.7(260) · €20–30
Hamburger ·  · Via Giulio Rocco, 55
Closed ⋅ Opens 6 PM Mon",10.260681631015528,True
Ostiense,Trapizzino | Testaccio,4.6,5182,"4.6(5,182) · €1–10","Trapizzino | Testaccio
4.6(5,182) · €1–10
Restaurant ·  · Via Giovanni Branca, 88
Hip eatery for well-known street food
Closed ⋅ Opens 12 PM",13.152946361122055,True
Ostiense,Ristorante La Tavernaccia Da Bruno,4.6,1748,"4.6(1,748) · €20–30","Ristorante La Tavernaccia Da Bruno
4.6(1,748) · €20–30
Roman ·  · Via Giovanni da Castel Bolognese, 63
Rustic-chic stop for homestyle dishes
Closed ⋅ Opens 12:30 PM",12.06622755621548,True
Ostiense,Trattoria Pennestri,4.6,1625,"4.6(1,625) · €30–40","Trattoria Pennestri
4.6(1,625) · €30–40
Roman ·  · Via Giovanni da Empoli, 5
Intimate restaurant crafting upscale fare
Closed ⋅ Opens 12 PM",11.993263094763837,True
Ostiense,Capo de Fero Roma,4.6,1221,"4.6(1,221) · €20–30","Capo de Fero Roma
4.6(1,221) · €20–30
Roman · Via di S. Cosimato, 16
Closed ⋅ Opens 12:30 PM",11.707425474110703,True
Ostiense,MASTO a Testaccio I Roma,4.6,1092,"4.6(1,092) · €20–30","MASTO a Testaccio I Roma
4.6(1,092) · €20–30
Restaurant · Testaccio, Via Galvani, 39
Closed ⋅ Opens 12 PM",11.595766156304851,True
Ostiense,Ristorante Ad Hoc,4.6,1084,"4.6(1,084) · $$$","Ristorante Ad Hoc
4.6(1,084) · $$$
Restaurant ·  · Via di Ripetta, 43
Elevated Italian food in a 1400s space
Closed ⋅ Opens 6:30 PM",11.588413181999591,True
Ostiense,Trattoria La Rustica,4.6,834,4.6(834) · €20–30,"Trattoria La Rustica
4.6(834) · €20–30
Roman · Via Bolgheri, 55
Closed ⋅ Opens 12:30 PM Mon",11.326233402358746,True
