Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Pigneto,Il Gaudio Ristorante Roma San Lorenzo,4.9,309,4.9(309),"Il Gaudio Ristorante Roma San Lorenzo
4.9(309)
Restaurant ·  · Via dei Volsci, 59
Closed ⋅ Opens 12:30 PM",10.633341276897745,True
Pigneto,Rinomato San Giovanni,4.8,485,4.8(485) · €10–20,"Rinomato San Giovanni
4.8(485) · €10–20
Hamburger ·  · Via Soana, 30 /32
Gourmet burgers & poke in simple digs
Closed ⋅ Opens 12 PM Mon",10.984148890937483,True
Pigneto,DOGMA Ristorante,4.8,361,4.8(361) · €50–60,"DOGMA Ristorante
4.8(361) · €50–60
Restaurant ·  · Piazza Zama, 34
Closed ⋅ Opens 1 PM",10.688877958332881,True
Pigneto,Fax Factory,4.8,291,4.8(291) · €1–10,"Fax Factory
4.8(291) · €1–10
Coffee shop ·  · Via Antonio Raimondi, 87
Closed ⋅ Opens 9 AM",10.473323267171493,True
Pigneto,Osteria La Sol Fa,4.7,2582,"4.7(2,582) · €20–30","Osteria La Sol Fa
4.7(2,582) · €20–30
Roman ·  · Via Germano Sommeiller, 19
Simple pick for regional classics
Closed ⋅ Opens 12:30 PM Mon",12.556319571406588,True
Pigneto,La Pecora Pazza,4.7,1368,"4.7(1,368) · €10–20","La Pecora Pazza
4.7(1,368) · €10–20
Restaurant · Via Statilia, 35
Mellow spot for Calabrian fare & pizza
Closed ⋅ Opens 6 PM",11.921105098182496,True
Pigneto,Ristorante di Pesce Chiaroscuro San Giovanni,4.7,1157,"4.7(1,157) · €40–60","Ristorante di Pesce Chiaroscuro San Giovanni
4.7(1,157) · €40–60
Seafood ·  · Via Rimini, 15
Stylishly designed modern seafood bistro
Closed ⋅ Opens 12 PM",11.753585727193677,True
Pigneto,Trattoria Osti Matti,4.7,897,4.7(897) · €20–30,"Trattoria Osti Matti
4.7(897) · €20–30
Restaurant ·  · Via Assisi, 11
Closed ⋅ Opens 12:30 PM",11.499055862058796,True
Pigneto,BOSCO - officine del TARTUFO Pigneto Roma,4.7,864,4.7(864) · €30–40,"BOSCO - officine del TARTUFO Pigneto Roma
4.7(864) · €30–40
Restaurant ·  · Via Macerata, 8c
Kitchen dedicated to mountain flavors
Closed ⋅ Opens 12 PM",11.461572768804055,True
Pigneto,Pinseria romana pigneto,4.7,664,4.7(664) · €10–20,"Pinseria romana pigneto
4.7(664) · €10–20
Pizza · Via del Pigneto, 193
Closed ⋅ Opens 4:30 PM",11.198282149476434,True
Pigneto,MANGIO la cucina come a casa,4.7,616,4.7(616) · €20–30,"MANGIO la cucina come a casa
4.7(616) · €20–30
Southern Italian ·  · Via Renzo da Ceri, 18
Closed ⋅ Opens 12:30 PM",11.12324696353352,True
Pigneto,Big Friends Rome - Eat and Drink,4.7,597,4.7(597) · €20–30,"Big Friends Rome - Eat and Drink
4.7(597) · €20–30
Restaurant ·  · Via Elvia Recina, 24
Closed ⋅ Opens 12:30 PM",11.091917113392602,True
Pigneto,Schietto,4.7,469,4.7(469) · €20–30,"Schietto
4.7(469) · €20–30
Restaurant ·  · Via Vercelli, 6
Closed ⋅ Opens 12:30 PM",10.85060276844628,True
Pigneto,MILE PIGNETO,4.7,419,4.7(419) · €30–40,"MILE PIGNETO
4.7(419) · €30–40
Restaurant ·  · Via Pesaro, 8
Closed ⋅ Opens 12:30 PM",10.737870919922138,True
