Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Ponte,PanDivino - Focacceria Taperia,4.9,1063,"4.9(1,063) · €1–10","PanDivino - Focacceria Taperia
4.9(1,063) · €1–10
Sandwich ·  · Via del Paradiso, 39
Snug locale for light bites & desserts
Closed ⋅ Opens 12 PM",11.868850378341948,True
Ponte,ADESSO Vineria Bistrot,4.9,349,4.9(349),"ADESSO Vineria Bistrot
4.9(349)
Restaurant ·  · Via dell'Orso, 71
Closed ⋅ Opens 5:30 PM",10.755071922202427,True
Ponte,Tonnarello Scala,4.8,12455,"4.8(12,455) · €10–20","Tonnarello Scala
4.8(12,455) · €10–20
Restaurant ·  · Piazza della Scala, 19/21
Closed ⋅ Opens 11 AM",14.22987742769628,True
Ponte,Pinsitaly Trevi,4.8,3940,"4.8(3,940) · €10–20","Pinsitaly Trevi
4.8(3,940) · €10–20
Pizza ·  · Via della Panetteria, 12
Closed ⋅ Opens 10:30 AM",13.078936002291979,True
Ponte,Osteria da Fortunata - Pantheon,4.8,3073,"4.8(3,073) · €20–30","Osteria da Fortunata - Pantheon
4.8(3,073) · €20–30
Restaurant ·  · Piazza della Rotonda, 6
Closed ⋅ Opens 11:30 AM",12.830409562130484,True
Ponte,Rione XIV Bistrot,4.8,1753,"4.8(1,753) · €20–30","Rione XIV Bistrot
4.8(1,753) · €20–30
Bistro · Borgo Pio, 21
Hearty Italian cooking in cozy surrounds
Closed ⋅ Opens 12 PM Mon",12.269083884921233,True
Ponte,Ristorante Dai Miei,4.8,1368,"4.8(1,368) · €20–30","Ristorante Dai Miei
4.8(1,368) · €20–30
Roman ·  · Via delle Fornaci, 75/77
Quaint option for homestyle eats & wine
Closed ⋅ Opens 12 PM",12.021105098182495,True
Ponte,Labottega Pastificio con Cucina Roma,4.8,1004,"4.8(1,004) · €10–20","Labottega Pastificio con Cucina Roma
4.8(1,004) · €10–20
Restaurant ·  · Via dei Banchi Vecchi, 48
Handmade pasta in a snug space or to go
Closed ⋅ Opens 12 PM Mon",11.711747300251673,True
Ponte,Sto Bene Roma,4.8,616,4.8(616) · €1–10,"Sto Bene Roma
4.8(616) · €1–10
Sandwich ·  · Piazza della Trinità dei Pellegrini, 88
Closed ⋅ Opens 9:30 AM Mon",11.22324696353352,True
Ponte,Il Desiderio preso per la Coda,4.8,437,4.8(437) · €20–30,"Il Desiderio preso per la Coda
4.8(437) · €20–30
Restaurant · Vicolo della Palomba, 23
Classic regional cuisine in a cozy venue
Closed ⋅ Opens 12:30 PM Mon",10.879933195095589,True
Ponte,Nannarella,4.7,33199,"4.7(33,199) · €20–30","Nannarella
4.7(33,199) · €20–30
Roman ·  · Piazza di S. Calisto, 7/a
Classic locale for pizza & wine
Closed ⋅ Opens 11:30 AM",15.110275033969021,True
Ponte,Otello,4.7,15015,"4.7(15,015) · €20–30","Otello
4.7(15,015) · €20–30
Roman · Via della Pelliccia, 47/53
Cool choice for typical Roman dining
Closed ⋅ Opens 11:30 AM",14.31680498041743,True
Ponte,Ristorante Pizzeria La Sagrestia,4.7,4836,"4.7(4,836) · €10–20","Ristorante Pizzeria La Sagrestia
4.7(4,836) · €10–20
Restaurant · Via del Seminario, 89
Closed ⋅ Opens 11:30 AM",13.183843211734683,True
Ponte,Borghiciana Pastificio Artigianale,4.7,4073,"4.7(4,073) · €10–20","Borghiciana Pastificio Artigianale
4.7(4,073) · €10–20
Restaurant ·  · Borgo Pio, 186
Closed ⋅ Opens 11:45 AM Mon",13.012135107648412,True
