Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Trevi,InRome Cooking Classes,5.0,1335,"5.0(1,335)","InRome Cooking Classes
5.0(1,335)
Restaurant · Corso del Rinascimento, 65
Closed ⋅ Opens 9 AM",12.19668657083435,True
Trevi,Pane e Salame,4.8,6979,"4.8(6,979) · €10–20","Pane e Salame
4.8(6,979) · €10–20
Italian ·  · Via Santa Maria in Via, 19
Hole-in-the-wall spot for cheese & wine
Closed ⋅ Opens 12 PM",13.650660919017152,True
Trevi,Pinsitaly Trevi,4.8,3940,"4.8(3,940) · €10–20","Pinsitaly Trevi
4.8(3,940) · €10–20
Pizza ·  · Via della Panetteria, 12
Closed ⋅ Opens 10:30 AM",13.078936002291979,True
Trevi,Taverna Boccaccio,4.8,903,4.8(903) · €20–30,"Taverna Boccaccio
4.8(903) · €20–30
Roman ·  · Via del Boccaccio, 24
Closed ⋅ Opens 12 PM Mon",11.605722553416985,True
Trevi,Ristorante L'Ulivo,4.8,881,4.8(881),"Ristorante L'Ulivo
4.8(881)
Restaurant ·  · Via Monte Bianco, 23",11.581057625936179,True
Trevi,包味鲜 Bao's House Chinese Restaurant Fontana di Trevi,4.8,258,4.8(258) · €10–20,"包味鲜 Bao's House Chinese Restaurant Fontana di Trevi
4.8(258) · €10–20
Chinese · Via dell'Umiltà, 32/32a
Closed ⋅ Opens 11 AM",10.352959584921617,True
Trevi,Mimì e Cocò,4.7,7253,"4.7(7,253) · €20–30","Mimì e Cocò
4.7(7,253) · €20–30
Bistro · Via del Governo Vecchio, 72
Cozy venue for Roman food & wines
Closed ⋅ Opens 10 AM",13.589170455363412,True
Trevi,Gandhi 2 Indian Restaurant,4.7,6032,"4.7(6,032) · €20–30","Gandhi 2 Indian Restaurant
4.7(6,032) · €20–30
Indian ·  · Via Genova, 29/A
Warm Indian venue with veggie options
Closed ⋅ Opens 12 PM",13.404833909687792,True
Trevi,Ristorante Pizzeria La Sagrestia,4.7,4836,"4.7(4,836) · €10–20","Ristorante Pizzeria La Sagrestia
4.7(4,836) · €10–20
Restaurant · Via del Seminario, 89
Closed ⋅ Opens 11:30 AM",13.183843211734683,True
Trevi,Trattoria Della Stampa,4.7,3198,"4.7(3,198) · €20–30","Trattoria Della Stampa
4.7(3,198) · €20–30
Roman · Via dei Maroniti, 32
Closed ⋅ Opens 12 PM",12.770280893393899,True
