name,rating,reviews,info,category,composite_score,high_review_flag,address
Two Sizes,4.8,11101,$,Pastries,14.114790473332649,True," · Via del Governo Vecchio, 88"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
Fiocco di neve,4.7,1483,$$,Ice Cream,12.001822342137933,True," · Via del Pantheon, 51"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Lato 15,4.7,456,4.7(456),Ice Cream,10.822492809514388,True,"Via della Polveriera, 15"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
La Pasticciera,4.7,286,$$,Pastries,10.355991810819852,True," · Via Varese, 43"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Pub Cuccagna,4.6,1557,€10–20,Roman,11.950516171833998,True," · Via della Cuccagna, 17/18"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Fatamorgana Chiavari,4.6,1041,$$,Ice Cream,11.547937068614967,True,"Via dei Chiavari, 37A"
Love - Specialty Croissants,4.6,906,€1–10,Coffee shop,11.40903930604298,True," · Via Tunisi, 51"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Forno del Ghetto,4.6,560,€1–10,Bakery,10.927936783729194,True,"Piazza Costaguti, 30"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6357,€1–20,Bakery,13.257311846936409,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4721,$$,Pastries,12.959775920546289,True,"Via dello Statuto, 60"
Il Maritozzaro,4.5,3408,$,Pastries,12.633880887949209,True," · Via Ettore Rolli, 50"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
Antico Forno Serpenti,4.5,2499,€1–10,Pizza,12.323645930834951,True," · Via dei Serpenti, 122/123"
Bakery Roscioli Pietro,4.5,1963,€1–10,Bakery,12.08222919427646,True," · Via Buonarroti, 46/48"
Er Baretto,4.5,1716,€1–10,Espresso bar,11.947751280047909,True,"Via del Boschetto, 132"
