name,rating,reviews,info,category,composite_score,high_review_flag,address
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
D’Angelo Caffè & Gastronomia - Bar Bistro Caffetteria Napoletana a Roma,4.7,2281,€1–10,Coffee shop,12.432369222284388,True," · Via Venti Settembre, 25"
Bar Trani,4.7,535,€1–10,Cafe,10.982266746896006,True," · Via Emanuele Filiberto, 8"
La Pasticciera,4.7,286,$$,Pastries,10.355991810819852,True," · Via Varese, 43"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
La Licata,4.5,4213,€10–20,Cafe,12.845930261979015,True," · Via dei Serpenti, 165"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
Antico Forno Serpenti,4.5,2499,€1–10,Pizza,12.323645930834951,True," · Via dei Serpenti, 122/123"
Forno da Milvio,4.5,2320,€1–10,Pizza,12.249322464660356,True," · Via dei Serpenti, 7"
Bakery Roscioli Pietro,4.5,1963,€1–10,Bakery,12.08222919427646,True," · Via Buonarroti, 46/48"
Pasticceria Barberini,4.5,1654,$$,Pastries,11.910951875583637,True," · Via Marmorata, 41"
Pasticceria Linari,4.5,1404,$$,Pastries,11.747080584585756,True," · Via Nicola Zabaglia, 9"
Bakery M,4.5,515,€1–10,Bakery,10.744166900663735,True," · Via dei Gracchi, 187"
Panificio Passi,4.5,272,€1–10,Bakery,10.105802066295997,True," · Via Mastro Giorgio, 87"
Mosca Bakery,4.5,268,€1–10,Bakery,10.090986980510856,True," · Via Candia, 16"
Grezzo Raw Chocolate,4.4,1564,$$$,Pastries,11.755001921105258,True," · Via Urbana, 130"
La Renella,4.4,1351,€1–10,Bakery,11.6086003379602,True," · Via del Moro, 15"
Forno Conti & Co.,4.4,693,€10–20,Bakery,10.941029999189904,True,"Via Giusti, 18"
Bakery Valli,4.4,572,€1–10,Bakery,10.749138991379798,True," · Via Bergamo, 37/39"
