name,rating,reviews,info,category,composite_score,high_review_flag,address
Gelateria Sweet Life,4.9,3036,$,Ice Cream,12.91829613851552,True," · Corso Vittorio Emanuele II, 270"
Two Sizes,4.8,11102,$,Pastries,14.114880551250106,True," · Via del Governo Vecchio, 88"
"Venchi Cioccolato e Gelato, Roma Via della Croce, Piazza di Spagna",4.8,7452,$$,Ice Cream,13.716237731721478,True," · V. della Croce, 25/26"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
Frigidarium,4.7,7792,$,Ice Cream,13.66085284532237,True," · Via del Governo Vecchio, 112"
Fiocco di neve,4.7,1483,$$,Ice Cream,12.001822342137933,True," · Via del Pantheon, 51"
Parenti,4.7,912,$,Pastries,11.51563999007433,True," · Via Ottaviano, 33"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Love - Specialty Croissants,4.6,906,€1–10,Coffee shop,11.40903930604298,True," · Via Tunisi, 51"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Gelato in Trevi,4.6,788,$,Ice Cream,11.26949808985788,True,"Via di S. Vincenzo, 31"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Le Levain Café,4.6,649,€1–10,Coffee shop,11.07543271670409,True," · Via Piave, 8"
Gelateria Pasticceria Caffetteria DI NOTO,4.6,611,€1–10,Coffee shop,11.015096959171595,True," · P.za Colonna, 356/357"
Il Fornaio di Corazza Daniele,4.6,328,€1–10,Bakery,10.393013608384145,True," · Via Emanuele Filiberto, 19/21"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
Antico Forno Serpenti,4.5,2499,€1–10,Pizza,12.323645930834951,True," · Via dei Serpenti, 122/123"
