name,rating,reviews,info,category,composite_score,high_review_flag,address
Fuorinorma,4.9,2095,€1–10,Deli,12.547308832356238,True,"Via dei Serpenti, 178"
Two Sizes,4.8,11101,$,Pastries,14.114790473332649,True," · Via del Governo Vecchio, 88"
Caffè Antica Roma,4.8,1285,€1–10,Espresso bar,11.95851399732932,True," · Via Marco Aurelio, 28"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
D’Angelo Caffè & Gastronomia - Bar Bistro Caffetteria Napoletana a Roma,4.7,2281,€1–10,Coffee shop,12.432369222284388,True," · Via Venti Settembre, 25"
Fiocco di neve,4.7,1483,$$,Ice Cream,12.001822342137933,True," · Via del Pantheon, 51"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Lato 15,4.7,456,4.7(456),Ice Cream,10.822492809514388,True,"Via della Polveriera, 15"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
La Pasticciera,4.7,286,$$,Pastries,10.355991810819852,True," · Via Varese, 43"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Torrefazione Ciamei,4.6,932,€1–10,Espresso bar,11.43733281468559,True," · Via Emanuele Filiberto, 57"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Il Pangocciolaio - Ostiense,4.6,773,$,Pastries,11.250279048587425,True,"Via dei Magazzini Generali, 15"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6357,€1–20,Bakery,13.257311846936409,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4721,$$,Pastries,12.959775920546289,True,"Via dello Statuto, 60"
Il Maritozzaro,4.5,3408,$,Pastries,12.633880887949209,True," · Via Ettore Rolli, 50"
Faro - Caffè Specialty,4.5,2862,€1–10,Coffee shop,12.459275960116395,True," · Via Piave, 55"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
