name,rating,reviews,info,category,composite_score,high_review_flag,address
Caffè Antica Roma,4.8,1285,€1–10,Espresso bar,11.95851399732932,True," · Via Marco Aurelio, 28"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Celiachiamo Lab,4.8,390,4.8(390),Bakery,10.766146739123691,True," · Via Trionfale, 15"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Pasticceria Galligani,4.7,491,$$,Pastries,10.89644412779452,True," · Via Nomentana, 935/b"
La Zeppola Roma,4.7,399,€1–10,Cake shop,10.688961416889864,True," · Piazza Lodi, 7"
Caffetteria Mariani,4.7,304,€1–10,Cake shop,10.417027701406225,True," · Via Gino Capponi, 150"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
La Pasticciera,4.7,286,$$,Pastries,10.355991810819852,True," · Via Varese, 43"
Barnum Roma,4.6,3298,€10–20,Coffee shop,12.701071503119543,True," · Via del Pellegrino, 87"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Il Pangocciolaio - Ostiense,4.6,773,$,Pastries,11.250279048587425,True,"Via dei Magazzini Generali, 15"
Forno del Ghetto,4.6,560,€1–10,Bakery,10.927936783729194,True,"Piazza Costaguti, 30"
Panificio Supermercato Rossetti bros snc,4.6,520,€1–10,Bakery,10.853828811575472,True,"Via degli Olivi, 54-58"
Bottega Ioli & Matteucci,4.6,356,$$,Pastries,10.47493073085203,True," · Via Raffaele Balestra, 11/a"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
Il Maritozzaro,4.5,3408,$,Pastries,12.633880887949209,True," · Via Ettore Rolli, 50"
Faro - Caffè Specialty,4.5,2862,€1–10,Coffee shop,12.459275960116395,True," · Via Piave, 55"
