name,rating,reviews,info,category,composite_score,high_review_flag,address
Gelateria Sweet Life,4.9,3036,$,Ice Cream,12.91829613851552,True," · Corso Vittorio Emanuele II, 270"
Verso Italian Coffee Home,4.9,291,€1–10,Coffee shop,10.573323267171492,True," · Viale della Piramide Cestia, 35"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Pane Ciociaro,4.7,508,€1–10,Bakery,10.930481447578485,True,"Circonvallazione Gianicolense, 106"
Pizza Nader,4.7,453,€10–20,Bakery,10.815892125483035,True," · Via Alberto Ascari, 196"
Voglia Di Pane,4.7,433,€1–10,Bakery,10.77073772800249,True,"Via Marcantonio Bragadin, 81"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
La Pasticciera,4.7,286,$$,Pastries,10.355991810819852,True," · Via Varese, 43"
Sans De Blé - Pasticceria senza glutine e senza lattosio,4.7,272,$$,Pastries,10.305802066295998,True," · Via Corinto, 76"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Il Pangocciolaio - Ostiense,4.6,773,$,Pastries,11.250279048587425,True,"Via dei Magazzini Generali, 15"
Leandro,4.6,717,€1–10,Bakery,11.17507584059962,True," · Via Gabriello Chiabrera, 15"
Pasticceria Cecere,4.6,584,$,Pastries,10.969900982828229,True," · Via Pian Due Torri, 20"
Il Fornaio di Corazza Daniele,4.6,328,€1–10,Bakery,10.393013608384145,True," · Via Emanuele Filiberto, 19/21"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6357,€1–20,Bakery,13.257311846936409,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
Antico Forno Serpenti,4.5,2499,€1–10,Pizza,12.323645930834951,True," · Via dei Serpenti, 122/123"
Bakery Roscioli Pietro,4.5,1963,€1–10,Bakery,12.08222919427646,True," · Via Buonarroti, 46/48"
MATREM Bakery,4.5,1718,€1–10,Pizza Takeout,11.9489161025442,True,"Viale delle Provincie, 84-86-88-90 Angolo, Via Padova, 79-81-83"
