name,rating,reviews,info,category,composite_score,high_review_flag,address
Two Sizes,4.8,11101,$,Pastries,14.114790473332649,True," · Via del Governo Vecchio, 88"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
Frigidarium,4.7,7792,$,Ice Cream,13.66085284532237,True," · Via del Governo Vecchio, 112"
Parenti,4.7,912,$,Pastries,11.51563999007433,True," · Via Ottaviano, 33"
Cremì,4.7,629,$,Ice Cream,11.14413125670044,True," · Via di S. Agnese in Agone, 20"
La Pasticciera,4.7,286,$$,Pastries,10.355991810819852,True," · Via Varese, 43"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Antico Forno Roscioli,4.5,6357,€1–20,Bakery,13.257311846936409,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
La Licata,4.5,4213,€10–20,Cafe,12.845930261979015,True," · Via dei Serpenti, 165"
Il Maritozzaro,4.5,3408,$,Pastries,12.633880887949209,True," · Via Ettore Rolli, 50"
Faro - Caffè Specialty,4.5,2862,€1–10,Coffee shop,12.459275960116395,True," · Via Piave, 55"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
Bakery Roscioli Pietro,4.5,1963,€1–10,Bakery,12.08222919427646,True," · Via Buonarroti, 46/48"
Pasticceria Barberini,4.5,1654,$$,Pastries,11.910951875583637,True," · Via Marmorata, 41"
Forno Campo de 'Fiori,4.5,1476,€1–10,Bakery,11.797091005160418,True," · Campo de' Fiori, 22"
Pasticceria Linari,4.5,1404,$$,Pastries,11.747080584585756,True," · Via Nicola Zabaglia, 9"
Catering Pasticceria Natalizi,4.5,547,$$,Caterer,10.80444880242198,True," · Via Po, 124"
Bakery M,4.5,515,€1–10,Bakery,10.744166900663735,True," · Via dei Gracchi, 187"
Antico Forno Pasticceria Angelo Colapicchioni,4.5,266,€1–10,Bakery,10.0834963087817,True," · Via Tacito, 76/78"
Grezzo Raw Chocolate,4.4,1564,$$$,Pastries,11.755001921105258,True," · Via Urbana, 130"
La Renella,4.4,1351,€1–10,Bakery,11.6086003379602,True," · Via del Moro, 15"
Al Settimo Gelo,4.4,594,$$,Ice Cream,10.786879319362646,True,"Via Vodice, 21"
