name,rating,reviews,info,category,composite_score,high_review_flag,address
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Fax Factory,4.8,291,€1–10,Coffee shop,10.473323267171493,True," · Via Antonio Raimondi, 87"
Espresso 32,4.8,270,€1–10,Cafe,10.398421958998377,True," · Via Principe Umberto, 32"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
Parenti,4.7,912,$,Pastries,11.51563999007433,True," · Via Ottaviano, 33"
Gelateria Artigianale Il Capriccio di Carla,4.7,408,$,Ice Cream,10.711267174404162,True," · Piazzale Prenestino, 30/31"
La Zeppola Roma,4.7,399,€1–10,Cake shop,10.688961416889864,True," · Piazza Lodi, 7"
Caffetteria Mariani,4.7,304,€1–10,Cake shop,10.417027701406225,True," · Via Gino Capponi, 150"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
The British Corner,4.6,896,$,Tea house,11.397940412974927,True,"Via del Pigneto, 112"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
Il Maritozzaro,4.5,3408,$,Pastries,12.633880887949209,True," · Via Ettore Rolli, 50"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
Antico Forno Serpenti,4.5,2499,€1–10,Pizza,12.323645930834951,True," · Via dei Serpenti, 122/123"
Made of Flour,4.5,2234,€1–10,Restaurant,12.211548979629146,True," · Via Galeazzo Alessi, 245"
Bakery Roscioli Pietro,4.5,1963,€1–10,Bakery,12.08222919427646,True," · Via Buonarroti, 46/48"
Pasticceria Barberini,4.5,1654,$$,Pastries,11.910951875583637,True," · Via Marmorata, 41"
Ditirambo,4.5,1370,€20–40,Restaurant,11.722566018822173,True,"P.za della Cancelleria, 74"
Forno Ciabattini Roma,4.5,840,€1–10,Bakery,11.23340189183736,True,"Via di S. Croce in Gerusalemme, 23"
Mammò Trastevere,4.5,693,€10–20,Restaurant,11.041029999189902,True," · P.za di S. Giovanni della Malva, 2"
Antico Forno Pasticceria Angelo Colapicchioni,4.5,266,€1–10,Bakery,10.0834963087817,True," · Via Tacito, 76/78"
Napoleoni Gluten Free - Rome,4.4,1682,$$,Pastries,11.827738840532897,True," · Via Appia Nuova, 590"
La Renella,4.4,1351,€1–10,Bakery,11.6086003379602,True," · Via del Moro, 15"
Materia Cafe,4.4,1042,€1–10,Restaurant,11.348897222313312,True," · Via Andrea Provana, 7"
