name,rating,reviews,info,category,composite_score,high_review_flag,address
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Celiachiamo Lab,4.8,390,4.8(390),Bakery,10.766146739123691,True," · Via Trionfale, 15"
Gastromario,4.8,313,€1–10,Restaurant,10.546203190540153,True,"Via Voghera, 10"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
La Zeppola Roma,4.7,399,€1–10,Cake shop,10.688961416889864,True," · Piazza Lodi, 7"
Caffetteria Mariani,4.7,304,€1–10,Cake shop,10.417027701406225,True," · Via Gino Capponi, 150"
La Pasticciera,4.7,286,$$,Pastries,10.355991810819852,True," · Via Varese, 43"
Prelibato,4.7,276,€1–10,Bakery,10.32040086571715,True,"Viale di Villa Pamphili, 214"
Livio,4.7,267,€1–10,Bakery,10.28724865840025,True," · Via Tiburtina, 119"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Gran Caffè Rione VIII,4.6,1055,€1–10,Cafeteria,11.561296045910169,True," · Via di S. Maria del Pianto, 59"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Il Pangocciolaio - Ostiense,4.6,773,$,Pastries,11.250279048587425,True,"Via dei Magazzini Generali, 15"
Le Levain Café,4.6,649,€1–10,Coffee shop,11.07543271670409,True," · Via Piave, 8"
"Lo Sfilatino - pane,pizza e dolci",4.6,409,€1–10,Bakery,10.6137151560428,True," · Via Raffaele Caverni, 12"
Bottega Ioli & Matteucci,4.6,356,$$,Pastries,10.47493073085203,True," · Via Raffaele Balestra, 11/a"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
