name,rating,reviews,info,category,composite_score,high_review_flag,address
Caffè Antica Roma,4.8,1285,€1–10,Espresso bar,11.95851399732932,True," · Via Marco Aurelio, 28"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Pane pane vino ar vino,4.8,502,€1–10,Cafe,11.01860011969173,True,"Via del Gesù, 84"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
D’Angelo Caffè & Gastronomia - Bar Bistro Caffetteria Napoletana a Roma,4.7,2281,€1–10,Coffee shop,12.432369222284388,True," · Via Venti Settembre, 25"
Fiocco di neve,4.7,1483,$$,Ice Cream,12.001822342137933,True," · Via del Pantheon, 51"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Bar Trani,4.7,535,€1–10,Cafe,10.982266746896006,True," · Via Emanuele Filiberto, 8"
Lato 15,4.7,456,4.7(456),Ice Cream,10.822492809514388,True,"Via della Polveriera, 15"
Voglia Di Pane,4.7,433,€1–10,Bakery,10.77073772800249,True,"Via Marcantonio Bragadin, 81"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Fatamorgana Chiavari,4.6,1041,$$,Ice Cream,11.547937068614967,True,"Via dei Chiavari, 37A"
Love - Specialty Croissants,4.6,906,€1–10,Coffee shop,11.40903930604298,True," · Via Tunisi, 51"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Il Pangocciolaio - Ostiense,4.6,773,$,Pastries,11.250279048587425,True,"Via dei Magazzini Generali, 15"
Leandro,4.6,717,€1–10,Bakery,11.17507584059962,True," · Via Gabriello Chiabrera, 15"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
La Licata,4.5,4213,€10–20,Cafe,12.845930261979015,True," · Via dei Serpenti, 165"
