name,rating,reviews,info,category,composite_score,high_review_flag,address
Two Sizes,4.8,11102,$,Pastries,14.114880551250106,True," · Via del Governo Vecchio, 88"
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Pane pane vino ar vino,4.8,502,€1–10,Cafe,11.01860011969173,True,"Via del Gesù, 84"
Celiachiamo Lab,4.8,390,4.8(390),Bakery,10.766146739123691,True," · Via Trionfale, 15"
Pasticceria Leonardo Roma,4.8,372,4.8(372),Dessert shop,10.718893854273146,True," · Via di Santa Maria dell'Anima, 52"
Frigidarium,4.7,7792,$,Ice Cream,13.66085284532237,True," · Via del Governo Vecchio, 112"
D’Angelo Caffè & Gastronomia - Bar Bistro Caffetteria Napoletana a Roma,4.7,2281,€1–10,Coffee shop,12.432369222284388,True," · Via Venti Settembre, 25"
Parenti,4.7,912,$,Pastries,11.51563999007433,True," · Via Ottaviano, 33"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Voglia Di Pane,4.7,433,€1–10,Bakery,10.77073772800249,True,"Via Marcantonio Bragadin, 81"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
Prelibato,4.7,276,€1–10,Bakery,10.32040086571715,True,"Viale di Villa Pamphili, 214"
Barnum Roma,4.6,3298,€10–20,Coffee shop,12.701071503119543,True," · Via del Pellegrino, 87"
Forno Feliziani,4.6,2133,€1–10,Pizza,12.26528471847135,True," · Via Candia, 61"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Love - Specialty Croissants,4.6,906,€1–10,Coffee shop,11.40903930604298,True," · Via Tunisi, 51"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Chegelato Gelateria,4.6,780,4.6(780),Ice Cream,11.259293919683635,True," · Via del Governo Vecchio, 54"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Il Pangocciolaio - Ostiense,4.6,773,$,Pastries,11.250279048587425,True,"Via dei Magazzini Generali, 15"
Rosamunda's,4.6,581,€1–10,Bakery,10.96475075685191,True,"Via Giuseppe Zanardelli, 24"
Forno del Ghetto,4.6,560,€1–10,Bakery,10.927936783729194,True,"Piazza Costaguti, 30"
