name,rating,reviews,info,category,composite_score,high_review_flag,address
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Celiachiamo Lab,4.8,390,4.8(390),Bakery,10.766146739123691,True," · Via Trionfale, 15"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
Fiocco di neve,4.7,1483,$$,Ice Cream,12.001822342137933,True," · Via del Pantheon, 51"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Love - Specialty Croissants,4.6,906,€1–10,Coffee shop,11.40903930604298,True," · Via Tunisi, 51"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Forno del Ghetto,4.6,560,€1–10,Bakery,10.927936783729194,True,"Piazza Costaguti, 30"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
La Licata,4.5,4213,€10–20,Cafe,12.845930261979015,True," · Via dei Serpenti, 165"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
Antico Forno Serpenti,4.5,2499,€1–10,Pizza,12.323645930834951,True," · Via dei Serpenti, 122/123"
Bakery Roscioli Pietro,4.5,1963,€1–10,Bakery,12.08222919427646,True," · Via Buonarroti, 46/48"
Pasticceria Barberini,4.5,1654,$$,Pastries,11.910951875583637,True," · Via Marmorata, 41"
Forno Campo de 'Fiori,4.5,1476,€1–10,Bakery,11.797091005160418,True," · Campo de' Fiori, 22"
Pasticceria Linari,4.5,1404,$$,Pastries,11.747080584585756,True," · Via Nicola Zabaglia, 9"
I Dolci di Nonna Vincenza,4.5,1008,$$,Pastries,11.415723448631317,True," · Via dell'Arco del Monte, 98/A/B/98/A/B"
