name,rating,reviews,info,category,composite_score,high_review_flag,address
Biscottificio Artigiano Innocenti,4.8,864,$,Cookies,11.561572768804057,True," · Via della Luce, 21"
Le Altre Farine Del Mulino,4.8,830,$$,Pastries,11.521425700790644,True," · Via di Porta Cavalleggeri, 151/153"
Gelateria La Romana,4.7,9261,$$,Ice Cream,13.83356731317027,True," · Via Cola di Rienzo, 2"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Ginger Tea & Cakes,4.7,488,€1–10,Cake shop,10.890315405853148,True,"Via dell'Annunziata, 3"
Pasticceria Maritani Trieste,4.7,333,€1–10,Cake shop,10.508142489980443,True," · Piazza Nicolò Tommaseo, 3"
Charlotte Croissanterie,4.7,311,4.7(311),Patisserie,10.439792912179234,True," · Via della Maiolica, 3b"
Zucchero e Farina,4.7,288,€1–10,Bakery,10.362960480135946,True,"Via dei Banchi Vecchi, 105/107"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Forno Monteforte,4.6,1551,€1–10,Bakery,11.94665516317654,True," · Via del Pellegrino, 129"
Mary's Sfogliatella,4.6,1338,€1–10,Cake shop,11.798931240688171,True," · Galleria Umberto I, 66"
Riccardo Taliani Banqueting,4.6,900,€1–10,Espresso bar,11.40239476332431,True," · Via Genova, 26"
Zia Rosetta,4.6,777,€10–20,Deli,11.255440350367646,True,"Via Urbana, 54"
Il Pangocciolaio - Ostiense,4.6,773,$,Pastries,11.250279048587425,True,"Via dei Magazzini Generali, 15"
Pasticceria da Ily,4.6,389,€1–10,Cake shop,10.563579343618446,True," · Via S. Francesco D'Assisi, 22"
Pasticceria 5 Lune,4.6,279,$,Pastries,10.231211781821363,True,"Corso del Rinascimento, 89"
Panificio Lintozzi,4.6,264,€1–10,Bakery,10.175949103146316,True,"Piazza dell'Unità, 18"
Antico Forno Roscioli,4.5,6358,€1–20,Bakery,13.257469141470748,True,"Via dei Chiavari, 34"
Caffè San Marco,4.5,5669,€1–10,Restaurant,13.142768014324304,True," · Via Cesare Battisti, 18"
Regoli Pasticceria,4.5,4722,$$,Pastries,12.959987717645458,True,"Via dello Statuto, 60"
La Licata,4.5,4213,€10–20,Cafe,12.845930261979015,True," · Via dei Serpenti, 165"
Trecaffè - Via dei due Macelli,4.5,2686,€1–10,Cafe,12.395808377083185,True,"Via dei Due Macelli, 107"
Antico Forno Serpenti,4.5,2499,€1–10,Pizza,12.323645930834951,True," · Via dei Serpenti, 122/123"
Bakery Roscioli Pietro,4.5,1963,€1–10,Bakery,12.08222919427646,True," · Via Buonarroti, 46/48"
Pasticceria La Bomboniera,4.5,1779,$$,Pastries,11.983806687665837,True," · Via Trenta Ottobre, 3"
