name,rating,reviews,info,category,composite_score,high_review_flag,address
Pastamore,4.9,428,€1–10,Restaurant,10.959123195581796,True,"Borgo Pio, 34"
CiPASSO,4.8,3988,$$,Restaurant,13.091045131081728,True," · Via Metastasio, 21"
Pinsitaly Trevi,4.8,3940,€10–20,Pizza,13.07893600229198,True," · Via della Panetteria, 12"
Tonnarello San Pietro,4.8,2564,€10–20,Restaurant,12.64932381804056,True," · Via del Mascherino, 80"
Bono Bottega Nostrana- San Pietro,4.8,2149,€10–20,Sandwich,12.47275789664251,True," · Via di Porta Cavalleggeri, 109/111"
Rione XIV Bistrot,4.8,1753,€20–30,Bistro,12.269083884921232,True,"Borgo Pio, 21"
Ristorante Dai Miei,4.8,1368,€20–30,Roman,12.021105098182495,True," · Via delle Fornaci, 75/77"
Il Segreto - Italian restaurant near the Vatican,4.8,1218,€20–30,Italian,11.90496544826984,True," · Via Candia, 71"
Labottega Pastificio con Cucina Roma,4.8,1004,€10–20,Restaurant,11.711747300251671,True," · Via dei Banchi Vecchi, 48"
Mordi Sandwichouse®,4.8,747,€1–10,Sandwich,11.416065185132815,True,"Borgo Pio, 181A"
Paninoteca Slurp,4.8,729,€1–10,Sandwich,11.39167373200866,True," · Via degli Scipioni, 62"
Pinsa & Gusto,4.8,523,€1–10,Pizza,11.059581464064925,True,"Piazza Pio XI, 47"
Nakai Roma,4.8,349,4.8(349),Japanese,10.655071922202428,True," · Via di Santa Maria alle Fornaci, 14"
Ristorante Pizzeria Castello,4.7,13729,€10–20,Pizza,14.227265662897604,True," · Via delle Fornaci, 13"
Pastasciutta,4.7,7176,€1–10,Italian,13.57849740373863,True," · Via delle Grazie, 5"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
Pizza Zizza,4.7,3503,€10–20,Pizza,12.861375023197484,True,"Via delle Fornaci, 11"
Alfredo e Ada,4.7,2317,€10–20,Restaurant,12.448028524432376,True," · Via dei Banchi Nuovi, 14"
Vinsanto Vino & Cucina,4.7,1933,€10–20,Restaurant,12.266828479208332,True," · Viale dei Bastioni di Michelangelo, 31"
Scialla The Original Street Food,4.7,1904,€1–10,Restaurant,12.251712215351311,True,"Vicolo del Farinone, 27"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Anastasio,4.7,1323,€10–20,Restaurant,11.887657164114955,True,"Via Anastasio II, 440"
Vuliò,4.7,904,€10–20,Sandwich,11.506829360392176,True," · Via degli Scipioni, 55"
Est Artigiani del Gusto,4.7,876,$$,Restaurant,11.475366090936392,True," · Vicolo della Cancelleria, 11"
