name,rating,reviews,info,category,composite_score,high_review_flag,address
PanDivino - Focacceria Taperia,4.9,1063,€1–10,Sandwich,11.868850378341948,True," · Via del Paradiso, 39"
La Nuova Piazzetta,4.8,32895,€10–20,Italian,15.2010759495201,True," · Vicolo del Buon Consiglio, 23/a"
Tonnarello Scala,4.8,12455,€10–20,Restaurant,14.22987742769628,True," · Piazza della Scala, 19/21"
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
CiPASSO,4.8,3988,$$,Restaurant,13.091045131081728,True," · Via Metastasio, 21"
Pizza e Mozzarella,4.8,3574,€1–10,Pizza Takeout,12.981440695719376,True,"Via del Piè di Marmo, 32"
Pizza Florida,4.8,3269,€1–10,Pizza,12.892239406724212,True," · 00186, Via Florida, 25"
Osteria da Fortunata - Pantheon,4.8,3073,€20–30,Restaurant,12.830409562130484,True," · Piazza della Rotonda, 6"
Osteria Del Rione,4.8,889,€10–20,Roman,11.590097235513904,True," · Via Basento, 20"
Sto Bene Roma,4.8,616,€1–10,Sandwich,11.22324696353352,True," · Piazza della Trinità dei Pellegrini, 88"
Reserva Restaurante y Cocteles,4.8,467,4.8(467),Latin American,10.946329257668896,True," · Via del Pellegrino, 160/164"
Ristorante BellaDonna,4.8,256,€20–30,Restaurant,10.345177444479562,True,"Via della Colonna Antonina, 48"
Tonnarello | Paglia,4.7,81118,€10–20,Roman,16.00366016368873,True," · V. della Paglia, 1/2/3"
Nannarella,4.7,33199,€20–30,Roman,15.11027503396902,True," · Piazza di S. Calisto, 7/a"
Achille Al Pantheon di Habana,4.7,10579,€10–20,Italian,13.966626182986776,True," · Via dei Pastini, 120"
Iari The Vino,4.7,6902,€20–30,Restaurant,13.539566503657948,True," · Via Frangipane, 27"
al42 by Pasta Chef rione Monti,4.7,5673,€10–20,Italian,13.343473357326566,True," · Via Baccina, 42"
Ristorante Pizzeria La Sagrestia,4.7,4836,€10–20,Restaurant,13.183843211734684,True,"Via del Seminario, 89"
Trieste Pizza,4.7,4359,€10–20,Pizza,13.079997952238394,True,"Via Urbana, 112"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
Nerone,4.7,3399,€20–30,Restaurant,12.831236549696117,True," · Via del Viminale, 7A"
Pinsere,4.7,3300,€1–10,Pizza,12.801677747454573,True,"Via Flavia, 98"
Pizzeria della Madonna dei Monti,4.7,3207,€10–20,Pizza,12.773091199693155,True,"Via della Madonna dei Monti, 110"
La Prezzemolina,4.7,2607,€1–10,Pizza,12.5659554139335,True,"Via del Colosseo, 1 E/F"
Ristorante Virginiae - Cucina Tipica Romana,4.7,1779,€20–30,Roman,12.183806687665836,True,"Via di Parione, 41"
