name,rating,reviews,info,category,composite_score,high_review_flag,address
Tonnarello Scala,4.8,12456,€10–20,Restaurant,14.229957713513834,True," · Piazza della Scala, 19/21"
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
CiPASSO,4.8,3988,$$,Restaurant,13.091045131081728,True," · Via Metastasio, 21"
Pizza e Mozzarella,4.8,3574,€1–10,Pizza Takeout,12.981440695719376,True,"Via del Piè di Marmo, 32"
Pizza Florida,4.8,3269,€1–10,Pizza,12.892239406724212,True," · 00186, Via Florida, 25"
Osteria Del Rione,4.8,889,€10–20,Roman,11.590097235513904,True," · Via Basento, 20"
Reserva Restaurante y Cocteles,4.8,467,4.8(467),Latin American,10.946329257668896,True," · Via del Pellegrino, 160/164"
Rosso Fuoco Pizzeria,4.8,267,€1–10,Pizza,10.38724865840025,True," · Via Giovanni Bettolo, 37"
Iari The Vino,4.7,6902,€20–30,Restaurant,13.539566503657948,True," · Via Frangipane, 27"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
al42 by Pasta Chef rione Monti,4.7,5673,€10–20,Italian,13.343473357326566,True," · Via Baccina, 42"
Pizza Zizza,4.7,3503,€10–20,Pizza,12.861375023197484,True,"Via delle Fornaci, 11"
Ristorante Virginiae - Cucina Tipica Romana,4.7,1779,€20–30,Roman,12.183806687665836,True,"Via di Parione, 41"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Ristorante Montevecchio,4.7,982,€10–20,Restaurant,11.589591308354466,True," · Piazza di Montevecchio, 22/a"
Vuliò,4.7,904,€10–20,Sandwich,11.506829360392176,True," · Via degli Scipioni, 55"
Matermatuta,4.7,658,$$$,Restaurant,11.189204931325316,True," · Via Palermo, 51"
Casadora,4.7,385,€30–40,Italian,10.653243334287785,True," · Via Oslavia, 11"
Il sorriso Pizza e Kebab,4.7,275,€1–10,Pizza,10.316771097666573,True," · Via dei Gracchi, 193 A"
La locanda del tempio,4.6,6665,€20–30,Roman,13.404625232612808,True," · Via di Pietra, 85"
Hostaria de' Pastini,4.6,6394,€10–20,Italian,13.363115329619786,True," · Via dei Pastini, 126/128"
Ce Stamo A Pensà,4.6,3669,€10–20,Southern Italian,12.807674424355282,True," · Via Leonina, 81"
Rione 13 Ristorante,4.6,3555,€20–30,Italian,12.776110342237342,True,
Giordi,4.6,2270,€10–20,Restaurant,12.327535110475448,True," · Campo de' Fiori, 16"
Rosemary terra e sapori,4.6,2078,€10–20,Italian,12.239161171659172,True," · Via Modena, 15"
