name,rating,reviews,info,category,composite_score,high_review_flag,address
Che FC Ristorante di pesce,4.9,294,€20–30,Italian,10.583579767338682,True," · Via Ascanio Sobrero, 2"
Osteria da Fortunata - Pantheon,4.8,3073,€20–30,Restaurant,12.830409562130484,True," · Piazza della Rotonda, 6"
Locanda Alla Romana,4.8,1825,€20–40,Italian,12.309335266016593,True," · Via Vitaliano Brunelli, 49"
Vent8posti di Alessandro Onori,4.8,624,€20–30,Restaurant,11.236150368369428,True," · Via Gerolamo Cardano, 105"
Rosina Cucina Di Casa,4.8,466,€20–30,Restaurant,10.944185634125644,True,"Vicolo delle Grotte, 27"
Nannarella,4.7,33199,€20–30,Roman,15.11027503396902,True," · Piazza di S. Calisto, 7/a"
Goki San Paolo,4.7,3362,€20–30,Sushi,12.82029131396856,True," · Viale Giustiniano Imperatore, 17A"
Ar Monte Testaccio,4.7,1497,€20–30,Restaurant,12.011218384419628,True," · Via Nicola Zabaglia, 28"
La Taverna Del Vicolo Roma,4.7,1466,€20–30,Restaurant,11.990292882446596,True," · Via Pietro Mengoli, 7"
Cuoco & Camicia,4.7,796,$$,Italian,11.379599185844384,True," · Via di Monte Polacco, 2/4"
Come 'na Vorta Pasta e Vino - Palombella,4.7,784,€10–20,Restaurant,11.364409020350408,True," · Via della Palombella, 34"
Zia Restaurant,4.7,557,€100+,Fine Dining,11.022565239927284,True," · Via Goffredo Mameli, 45"
La Piccola Trattoria da Me,4.7,538,€10–20,Restaurant,10.987858560161785,True," · Via Rocco da Cesinale, 8"
Nomisan Sushi Restaurant Giapponese,4.7,429,$$$,Sushi,10.761456918928015,True," · Viale Gianluigi Bonelli, 237"
Cappuccino Doc,4.7,323,€1–10,Cafe,10.477652323222657,True," · Via Ostiense, 71F"
Barbarossa BeerFood Roma,4.7,260,€20–30,Hamburger,10.260681631015528,True," · Via Giulio Rocco, 55"
Ristorante La Tavernaccia Da Bruno,4.6,1748,€20–30,Roman,12.06622755621548,True," · Via Giovanni da Castel Bolognese, 63"
Trattoria Pennestri,4.6,1625,€30–40,Roman,11.993263094763837,True," · Via Giovanni da Empoli, 5"
Colline Emiliane,4.6,1438,$$,Restaurant,11.871008538280991,True,"Via degli Avignonesi, 22"
Ambrosia Rooftop Restaurant & Bar,4.6,1290,$$$,Italian,11.762397497355716,True," · Via Nazionale, 22/Int.B"
Ristorante Ad Hoc,4.6,1084,$$$,Restaurant,11.588413181999591,True," · Via di Ripetta, 43"
Städlin,4.6,812,€10–20,Restaurant,11.299500340161678,True," · Via Antonio Pacinotti, 83"
Il Pangocciolaio - Ostiense,4.6,772,$,Pastries,11.248984550024776,True,"Via dei Magazzini Generali, 15"
Apoteose Churrascaria e Grill,4.6,491,€30–40,Brazilian,10.79644412779452,True," · Via Federico Ozanam, 78/80"
Prefetti 19,4.6,478,$$,Bistro,10.769610732491456,True,"Via dei Prefetti, 19"
