name,rating,reviews,info,category,composite_score,high_review_flag,address
Quel che c’è laboratorio Di Cucina,4.9,1268,€10–20,Restaurant,12.045196134997171,True,"Via Torino, 129"
PanDivino - Focacceria Taperia,4.9,1063,€1–10,Sandwich,11.868850378341948,True," · Via del Paradiso, 39"
Tonnarello Scala,4.8,12456,€10–20,Restaurant,14.229957713513834,True," · Piazza della Scala, 19/21"
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
Osteria Del Rione,4.8,889,€10–20,Roman,11.590097235513904,True," · Via Basento, 20"
Trattoria Manzoni Risto Pub,4.8,382,€10–20,Restaurant,10.745420608606576,True," · Viale Manzoni, 93"
Bar do' Brasil,4.8,361,€1–10,Bar,10.68887795833288,True," · Via di S. Vito, 4/4a"
Iari The Vino,4.7,6902,€20–30,Restaurant,13.539566503657948,True," · Via Frangipane, 27"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
al42 by Pasta Chef rione Monti,4.7,5673,€10–20,Italian,13.343473357326566,True," · Via Baccina, 42"
Nerone,4.7,3399,€20–30,Restaurant,12.831236549696117,True," · Via del Viminale, 7A"
Pinsere,4.7,3300,€1–10,Pizza,12.801677747454573,True,"Via Flavia, 98"
La Prezzemolina,4.7,2607,€1–10,Pizza,12.5659554139335,True,"Via del Colosseo, 1 E/F"
Osteria La Sol Fa,4.7,2582,€20–30,Roman,12.556319571406588,True," · Via Germano Sommeiller, 19"
Mizio's Street Food,4.7,1933,€1–10,Sandwich,12.266828479208332,True,"Via degli Zingari, 54 a"
Ristorante Virginiae - Cucina Tipica Romana,4.7,1779,€20–30,Roman,12.183806687665836,True,"Via di Parione, 41"
La Pecora Pazza,4.7,1368,€10–20,Restaurant,11.921105098182496,True,"Via Statilia, 35"
Vuliò,4.7,904,€10–20,Sandwich,11.506829360392176,True," · Via degli Scipioni, 55"
Matermatuta,4.7,658,$$$,Restaurant,11.189204931325316,True," · Via Palermo, 51"
Hoppiness,4.7,338,€10–20,Bistro,10.52304589548302,True," · Viale Carlo Felice, 55/57"
Ristorante Pizzeria Mino,4.6,7535,€10–20,Restaurant,13.527314111060596,True," · Via Milazzo, 18, Via Magenta, 48"
La locanda del tempio,4.6,6665,€20–30,Roman,13.404625232612808,True," · Via di Pietra, 85"
Benso 215,4.6,4615,€20–30,Restaurant,13.037067146936952,True," · Via Cavour, 215"
Ce Stamo A Pensà,4.6,3669,€10–20,Southern Italian,12.807674424355282,True," · Via Leonina, 81"
Taverna dei migliori,4.6,3652,€20–30,Italian,12.80303024171486,True," · Viale Manzoni, 107"
