name,rating,reviews,info,category,composite_score,high_review_flag,address
CARPACCIO beef restaurant,4.9,453,4.9(453),Meat,11.015892125483036,True,"Via Marche, 9"
I Commensali,4.9,347,€10–20,Pizza,10.74932477994686,True,"Via Calabria, 23"
"Venchi Cioccolato e Gelato, Roma Via della Croce, Piazza di Spagna",4.8,7433,$$,Ice Cream,13.713684824725297,True," · V. della Croce, 25/26"
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
Pinsitaly Trevi,4.8,3940,€10–20,Pizza,13.07893600229198,True," · Via della Panetteria, 12"
PINSALLEGRA,4.8,1441,€1–10,Pizza,12.073092595999524,True,"Via Napoli, 50"
PÒ MÒ FLAVIA Pizza e Supplì Roma,4.8,597,€1–10,Pizza,11.191917113392602,True," · Via Flavia, 91"
Tira e Molla Roma,4.7,8934,€10–20,Italian,13.797619501912065,True," · Via Enna, 2"
Iari The Vino,4.7,6902,€20–30,Restaurant,13.539566503657948,True," · Via Frangipane, 27"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
al42 by Pasta Chef rione Monti,4.7,5673,€10–20,Italian,13.343473357326566,True," · Via Baccina, 42"
Nerone,4.7,3399,€20–30,Restaurant,12.831236549696117,True," · Via del Viminale, 7A"
Pinsere,4.7,3300,€1–10,Pizza,12.801677747454573,True,"Via Flavia, 98"
Trattoria Della Stampa,4.7,3198,€20–30,Roman,12.7702808933939,True,"Via dei Maroniti, 32"
Il Panino Ingegnoso,4.7,1589,€1–10,Sandwich,12.070860166536717,True," · P.za di Pietra, 35"
Sofitel Roma Villa Borghese,4.7,847,4.7(847),5-star hotel,11.441700694652056,True,
Matermatuta,4.7,658,$$$,Restaurant,11.189204931325316,True," · Via Palermo, 51"
I Goliardi Roma,4.7,434,$$,Restaurant,10.773044534100404,True," · Via Sardegna, 28"
Pasta in Corso Cavour-Prati,4.7,407,€10–20,Restaurant,10.708813185442594,True," · Piazza Camillo Benso Conte di Cavour, 17/B"
Caffè Gotico,4.7,367,€1–10,Cafe,10.60536184805457,True,"Via della Stelletta, 7a"
Ristorante Ad hoc,4.7,317,4.7(317),Italian,10.45890177387728,True,"Via dei Cerchi, 75"
Pizza in Trevi,4.6,7160,€20–30,Pizza,13.47626525995469,True," · Via di S. Vincenzo, 30/30A"
Al Forno della Soffitta,4.6,4988,€10–20,Italian,13.114790306799929,True," · Via Piave, 62"
Thousand and One Nights,4.6,2026,$$,Lebanese,12.21381868480863,True," · Via Toscana, 41"
Babette,4.6,1664,$$,Italian,12.016979621381154,True," · Via Margutta, 1d"
