name,rating,reviews,info,category,composite_score,high_review_flag,address
Fuorinorma,4.9,2095,€1–10,Deli,12.547308832356238,True,"Via dei Serpenti, 178"
La Nuova Piazzetta,4.8,32895,€10–20,Italian,15.2010759495201,True," · Vicolo del Buon Consiglio, 23/a"
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
Armònia Bake Bar & Cucina 1965,4.8,1884,€10–20,Restaurant,12.341152455136308,True," · Via Nazionale, 188"
Amici Pizza & Burger,4.8,1762,€1–10,Southern Italian,12.274204806496124,True," · Via Leonina, 77"
T. & C. Burger Lab,4.8,1020,€10–20,Hamburger,11.727557906278316,True,"Via Urbana, 131"
Ristoro Della Salute,4.7,11570,€20–30,Italian,14.056170820187724,True," · Piazza del Colosseo, 2A"
Iari The Vino,4.7,6902,€20–30,Restaurant,13.539566503657948,True," · Via Frangipane, 27"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
al42 by Pasta Chef rione Monti,4.7,5673,€10–20,Italian,13.343473357326566,True," · Via Baccina, 42"
Trieste Pizza,4.7,4359,€10–20,Pizza,13.079997952238394,True,"Via Urbana, 112"
Nerone,4.7,3399,€20–30,Restaurant,12.831236549696117,True," · Via del Viminale, 7A"
Pizzeria della Madonna dei Monti,4.7,3207,€10–20,Pizza,12.773091199693155,True,"Via della Madonna dei Monti, 110"
Ornelli Black Angus Steakhouse,4.7,2771,$$,Steak,12.626963544862978,True," · Via Merulana, 224"
La Prezzemolina,4.7,2607,€1–10,Pizza,12.5659554139335,True,"Via del Colosseo, 1 E/F"
Mizio's Street Food,4.7,1933,€1–10,Sandwich,12.266828479208332,True,"Via degli Zingari, 54 a"
Pizzeria Boccaccia,4.7,1636,€1–10,Pizza,12.100009517162691,True,"Via Leonina, 73"
Il Panino Ingegnoso,4.7,1589,€1–10,Sandwich,12.070860166536717,True," · P.za di Pietra, 35"
Cuoco & Camicia,4.7,796,$$,Italian,11.379599185844384,True," · Via di Monte Polacco, 2/4"
Matermatuta,4.7,658,$$$,Restaurant,11.189204931325316,True," · Via Palermo, 51"
Carre monti,4.7,554,€1–10,Bistro,11.017164686747284,True," · Via Giovanni Lanza, 132"
Cioli 1917 - Colosseo,4.7,253,€10–20,Sandwich,10.23338948872752,True,"Via dei Serpenti, 21"
Benso 215,4.6,4615,€20–30,Restaurant,13.037067146936952,True," · Via Cavour, 215"
Ce Stamo A Pensà,4.6,3669,€10–20,Southern Italian,12.807674424355282,True," · Via Leonina, 81"
Grano Trattoria,4.6,2820,€10–20,Italian,12.544492163932158,True," · Via Celsa, 7"
