name,rating,reviews,info,category,composite_score,high_review_flag,address
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
CiPASSO,4.8,3988,$$,Restaurant,13.091045131081728,True," · Via Metastasio, 21"
T. & C. Burger Lab,4.8,1020,€10–20,Hamburger,11.727557906278316,True,"Via Urbana, 131"
Osteria Del Rione,4.8,889,€10–20,Roman,11.590097235513904,True," · Via Basento, 20"
Greco Romano,4.8,865,€30–40,Greek,11.56272950693188,True," · Via Guglielmo Calderini, 48/50"
STRADAROMANA Pizza & Grill,4.8,717,€20–30,Roman,11.37507584059962,True," · Via Teodorico, 34"
Ristorante Mamma Orso,4.8,436,€40–50,Italian,10.877642243349031,True," · Via Arezzo, 17"
Il Ristorante di Porta Pia,4.8,435,4.8(435),Italian,10.875346031088684,True," · Via Nomentana, 15"
Sinfonia Del Gusto Ristorante,4.8,254,€30–40,Italian,10.337334267018536,True," · Via Reggio Emilia, 17"
Tonnarello | Paglia,4.7,81118,€10–20,Roman,16.00366016368873,True," · V. della Paglia, 1/2/3"
Nannarella,4.7,33199,€20–30,Roman,15.11027503396902,True," · Piazza di S. Calisto, 7/a"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
Trieste Pizza,4.7,4360,€10–20,Pizza,13.08022733634308,True,"Via Urbana, 112"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
Pizza Zizza,4.7,3503,€10–20,Pizza,12.861375023197484,True,"Via delle Fornaci, 11"
Ornelli Black Angus Steakhouse,4.7,2771,$$,Steak,12.626963544862978,True," · Via Merulana, 224"
La Prezzemolina,4.7,2607,€1–10,Pizza,12.5659554139335,True,"Via del Colosseo, 1 E/F"
Alfredo e Ada,4.7,2317,€10–20,Restaurant,12.448028524432376,True," · Via dei Banchi Nuovi, 14"
Mizio's Street Food,4.7,1933,€1–10,Sandwich,12.266828479208332,True,"Via degli Zingari, 54 a"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Il Tamburello di Pulcinella,4.7,769,€20–30,Restaurant,11.345090969505645,True," · Via Pasquale Fiore, 23"
Matermatuta,4.7,658,$$$,Restaurant,11.189204931325316,True," · Via Palermo, 51"
Food Factory Trastevere,4.7,466,€1–10,Restaurant,10.844185634125646,True," · Piazza di S. Cosimato, 48/49"
Little Tripoli,4.7,397,€20–40,Kosher,10.683936280687192,True," · Via Cremona, 42"
VOI - Pizza & Drinks,4.7,392,€10–20,Pizza,10.671261839790462,True," · Via Giovanni Mingazzini, 24/26, 28"
