name,rating,reviews,info,category,composite_score,high_review_flag,address
Celio Bistrot,4.9,311,€20–40,Restaurant,10.639792912179235,True," · Via Celimontana, 21"
Che FC Ristorante di pesce,4.9,294,€20–30,Italian,10.583579767338682,True," · Via Ascanio Sobrero, 2"
"""DOC"" EnoBistrot - Cruderia & Cucina",4.8,891,€20–30,Restaurant,11.59234442747081,True,"Via Giuseppe Giulietti, 5"
Bacetto Bistrot,4.8,442,€20–30,Restaurant,10.891309882077698,True," · Via Ostiense, 177/a"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
Supplì Roma,4.7,4437,€1–10,Pizza,13.097733751378913,True," · Via di S. Francesco a Ripa, 137"
Goki San Paolo,4.7,3362,€20–30,Sushi,12.82029131396856,True," · Viale Giustiniano Imperatore, 17A"
La Taverna Del Vicolo Roma,4.7,1466,€20–30,Restaurant,11.990292882446596,True," · Via Pietro Mengoli, 7"
I Gemelli,4.7,813,€1–10,Pizza,11.40073110954781,True," · Largo Beato Placido Riccardi, 4"
La Piccola Trattoria da Me,4.7,538,€10–20,Restaurant,10.987858560161785,True," · Via Rocco da Cesinale, 8"
YaLùz,4.7,462,€10–20,Restaurant,10.835564891081738,True," · Box n.30 Mercato, Via di Santa Galla"
ONE SENSE by Valla,4.7,462,€30–40,Restaurant,10.835564891081738,True," · Via Alessandro Cialdi, 35"
I Goliardi Roma,4.7,434,$$,Restaurant,10.773044534100404,True," · Via Sardegna, 28"
Pasta in Corso Cavour-Prati,4.7,407,€10–20,Restaurant,10.708813185442594,True," · Piazza Camillo Benso Conte di Cavour, 17/B"
Cappuccino Doc,4.7,323,€1–10,Cafe,10.477652323222657,True," · Via Ostiense, 71F"
Il Mulino ai quattro venti,4.7,315,€30–40,Restaurant,10.452572638825632,True,"Via Andrea Busiri Vici, 48"
Kombinini,4.7,295,$,Asian grocery store,10.38697535633982,True,"Via Gaspare Gozzi, 51"
Barbarossa BeerFood Roma,4.7,260,€20–30,Hamburger,10.260681631015528,True," · Via Giulio Rocco, 55"
Trapizzino | Testaccio,4.6,5182,€1–10,Restaurant,13.152946361122057,True," · Via Giovanni Branca, 88"
Ristorante La Tavernaccia Da Bruno,4.6,1748,€20–30,Roman,12.06622755621548,True," · Via Giovanni da Castel Bolognese, 63"
Trattoria Pennestri,4.6,1625,€30–40,Roman,11.993263094763837,True," · Via Giovanni da Empoli, 5"
Capo de Fero Roma,4.6,1221,€20–30,Roman,11.707425474110703,True,"Via di S. Cosimato, 16"
MASTO a Testaccio I Roma,4.6,1092,€20–30,Restaurant,11.595766156304853,True,"Testaccio, Via Galvani, 39"
Ristorante Ad Hoc,4.6,1084,$$$,Restaurant,11.588413181999591,True," · Via di Ripetta, 43"
Trattoria La Rustica,4.6,834,€20–30,Roman,11.326233402358746,True,"Via Bolgheri, 55"
