name,rating,reviews,info,category,composite_score,high_review_flag,address
InRome Cooking Classes,5.0,1335,"5.0(1,335)",Restaurant,12.19668657083435,True,"Corso del Rinascimento, 65"
PanDivino - Focacceria Taperia,4.9,1063,€1–10,Sandwich,11.868850378341948,True," · Via del Paradiso, 39"
Taverna Boccaccio,4.8,903,€20–30,Roman,11.605722553416983,True," · Via del Boccaccio, 24"
SUD Vino & Cucina,4.8,404,€20–30,Southern Italian,10.80141487796115,True,"Via Pasquale Stanislao Mancini, 3"
Mimì e Cocò,4.7,7253,€20–30,Bistro,13.589170455363412,True,"Via del Governo Vecchio, 72"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
Mariuccia,4.7,5511,€10–20,Pizza,13.314501373883235,True," · P.za della Cancelleria, 92"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
Pizza Zizza,4.7,3503,€10–20,Pizza,12.861375023197484,True,"Via delle Fornaci, 11"
Pinsere,4.7,3300,€1–10,Pizza,12.801677747454573,True,"Via Flavia, 98"
Alfredo e Ada,4.7,2317,€10–20,Restaurant,12.448028524432376,True," · Via dei Banchi Nuovi, 14"
Ristorante Virginiae - Cucina Tipica Romana,4.7,1779,€20–30,Roman,12.183806687665836,True,"Via di Parione, 41"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
La Pace del Palato,4.7,502,$$,Restaurant,10.918600119691728,True,"Via del Teatro Pace, 42"
Vico Pizza&Wine Roma,4.7,285,€20–40,Pizza,10.352489180268652,True," · Piazza Rondanini, 47"
Il sorriso Pizza e Kebab,4.7,275,€1–10,Pizza,10.316771097666573,True," · Via dei Gracchi, 193 A"
Cantina e Cucina,4.6,14711,€20–30,Restaurant,14.196350792250213,True," · Via del Governo Vecchio, 87"
Hostaria de' Pastini,4.6,6394,€10–20,Italian,13.363115329619786,True," · Via dei Pastini, 126/128"
Mastrociccia - Osteria Pinseria,4.6,3544,€20–30,Restaurant,12.773011311724972,True," · Via del Governo Vecchio, 76"
La Piccola Cuccagna - Ristorante,4.6,3198,€20–30,Restaurant,12.6702808933939,True," · Via della Cuccagna, 14"
Ponte e Parione - Ristorante Piazza Navona,4.6,3197,€20–30,Restaurant,12.66996814905984,True," · Via di Santa Maria dell'Anima, 62"
cybo,4.6,2512,€10–30,Restaurant,12.428834527588087,True,"Via di Tor Millina, 27"
Ristorante Agrodolce Roma,4.6,2506,€20–30,Restaurant,12.426443135456012,True,"Piazza dei Crociferi, 25"
Osteria da Fortunata - Cancelleria,4.6,1724,€20–30,Restaurant,12.05240245122364,True,"P.za della Cancelleria, 87"
‪I Pizzicaroli‬,4.6,1236,€10–20,Restaurant,11.719635638017635,True," · Via della Fossa, 9"
