name,rating,reviews,info,category,composite_score,high_review_flag,address
Il Gaudio Ristorante Roma San Lorenzo,4.9,309,4.9(309),Restaurant,10.633341276897744,True," · Via dei Volsci, 59"
Rinomato San Giovanni,4.8,485,€10–20,Hamburger,10.984148890937483,True," · Via Soana, 30 /32"
DOGMA Ristorante,4.8,361,€50–60,Restaurant,10.68887795833288,True," · Piazza Zama, 34"
Fax Factory,4.8,291,€1–10,Coffee shop,10.473323267171493,True," · Via Antonio Raimondi, 87"
Osteria La Sol Fa,4.7,2582,€20–30,Roman,12.556319571406588,True," · Via Germano Sommeiller, 19"
La Pecora Pazza,4.7,1368,€10–20,Restaurant,11.921105098182496,True,"Via Statilia, 35"
Ristorante di Pesce Chiaroscuro San Giovanni,4.7,1157,€40–60,Seafood,11.753585727193675,True," · Via Rimini, 15"
Trattoria Osti Matti,4.7,897,€20–30,Restaurant,11.499055862058796,True," · Via Assisi, 11"
BOSCO - officine del TARTUFO Pigneto Roma,4.7,864,€30–40,Restaurant,11.461572768804055,True," · Via Macerata, 8c"
Pinseria romana pigneto,4.7,664,€10–20,Pizza,11.198282149476434,True,"Via del Pigneto, 193"
MANGIO la cucina come a casa,4.7,616,€20–30,Southern Italian,11.12324696353352,True," · Via Renzo da Ceri, 18"
Big Friends Rome - Eat and Drink,4.7,597,€20–30,Restaurant,11.091917113392602,True," · Via Elvia Recina, 24"
Schietto,4.7,469,€20–30,Restaurant,10.85060276844628,True," · Via Vercelli, 6"
MILE PIGNETO,4.7,419,€30–40,Restaurant,10.737870919922138,True," · Via Pesaro, 8"
Buseto,4.7,373,€10–30,Bistro,10.621578419643816,True," · Via del Pigneto, 24A"
Santo Bevitore,4.7,368,€10–20,Beer hall,10.60808293816893,True," · Via Suor Maria Mazzarello, 17"
Nena Mercato&Cucina,4.7,351,€30–40,Restaurant,10.560786223465865,True,"Via dei Sabelli, 193"
Hoppiness,4.7,338,€10–20,Bistro,10.52304589548302,True," · Viale Carlo Felice, 55/57"
Pico's Pigneto,4.7,316,€20–30,Mexican,10.455742213586912,True," · Via del Pigneto, 156"
JIGGER -Cocktail Bar & Food-,4.7,266,€10–20,Restaurant,10.2834963087817,True," · Via Mestre, 2"
Taverna dei migliori,4.6,3652,€20–30,Italian,12.80303024171486,True," · Viale Manzoni, 107"
Trattoria Re di Roma,4.6,1721,€20–30,Roman,12.050660796211538,True," · Piazza dei Re di Roma, Via Tuscolana, 40a"
Marco G Osteria,4.6,1374,€20–30,Restaurant,11.825481472782291,True," · Via Statilia, 12"
Waraku,4.6,1232,€20–30,Japanese,11.716394144093464,True," · Via Prenestina, 321"
Ristorante Feelsgood,4.6,1182,€10–20,Restaurant,11.674963197966044,True,"Via Emanuele Filiberto, 162"
