name,rating,reviews,info,category,composite_score,high_review_flag,address
PanDivino - Focacceria Taperia,4.9,1063,€1–10,Sandwich,11.868850378341948,True," · Via del Paradiso, 39"
ADESSO Vineria Bistrot,4.9,349,4.9(349),Restaurant,10.755071922202427,True," · Via dell'Orso, 71"
Tonnarello Scala,4.8,12455,€10–20,Restaurant,14.22987742769628,True," · Piazza della Scala, 19/21"
Pinsitaly Trevi,4.8,3940,€10–20,Pizza,13.07893600229198,True," · Via della Panetteria, 12"
Osteria da Fortunata - Pantheon,4.8,3073,€20–30,Restaurant,12.830409562130484,True," · Piazza della Rotonda, 6"
Rione XIV Bistrot,4.8,1753,€20–30,Bistro,12.269083884921232,True,"Borgo Pio, 21"
Ristorante Dai Miei,4.8,1368,€20–30,Roman,12.021105098182495,True," · Via delle Fornaci, 75/77"
Labottega Pastificio con Cucina Roma,4.8,1004,€10–20,Restaurant,11.711747300251671,True," · Via dei Banchi Vecchi, 48"
Sto Bene Roma,4.8,616,€1–10,Sandwich,11.22324696353352,True," · Piazza della Trinità dei Pellegrini, 88"
Il Desiderio preso per la Coda,4.8,437,€20–30,Restaurant,10.879933195095589,True,"Vicolo della Palomba, 23"
Nannarella,4.7,33199,€20–30,Roman,15.11027503396902,True," · Piazza di S. Calisto, 7/a"
Otello,4.7,15015,€20–30,Roman,14.31680498041743,True,"Via della Pelliccia, 47/53"
Ristorante Pizzeria La Sagrestia,4.7,4836,€10–20,Restaurant,13.183843211734684,True,"Via del Seminario, 89"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
Pizza Zizza,4.7,3503,€10–20,Pizza,12.861375023197484,True,"Via delle Fornaci, 11"
Alfredo e Ada,4.7,2317,€10–20,Restaurant,12.448028524432376,True," · Via dei Banchi Nuovi, 14"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Anastasio,4.7,1323,€10–20,Restaurant,11.887657164114955,True,"Via Anastasio II, 440"
I Supplì dei Coronari,4.7,1289,€1–10,Italian,11.861622002939187,True," · Via dei Coronari, 25"
Ristorante Montevecchio,4.7,982,€10–20,Restaurant,11.589591308354466,True," · Piazza di Montevecchio, 22/a"
Vuliò,4.7,904,€10–20,Sandwich,11.506829360392176,True," · Via degli Scipioni, 55"
Donkey Punch,4.7,778,€1–10,Sandwich,11.356726524178391,True,"Via della Scala, 33"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
L'altra Guancia,4.7,411,$$,Roman,10.718593214496234,True," · Via Pietro Giannone, 24"
Il sorriso Pizza e Kebab,4.7,275,€1–10,Pizza,10.316771097666573,True," · Via dei Gracchi, 193 A"
