name,rating,reviews,info,category,composite_score,high_review_flag,address
Poke by KEPO - Prati,4.9,571,€10–20,Poke bar,11.24738920965601,True," · Via Leone IV, 4"
CiPASSO,4.8,3988,$$,Restaurant,13.091045131081728,True," · Via Metastasio, 21"
Rione XIV Bistrot,4.8,1753,€20–30,Bistro,12.269083884921232,True,"Borgo Pio, 21"
Il Segreto - Italian restaurant near the Vatican,4.8,1218,€20–30,Italian,11.90496544826984,True," · Via Candia, 71"
Blu Mare Restaurant,4.8,1046,$$,Seafood,11.752728644624868,True," · Via Paolo Emilio, 69/A"
Paninoteca Slurp,4.8,729,€1–10,Sandwich,11.39167373200866,True," · Via degli Scipioni, 62"
Prosciutteria Alcolica Vaticano,4.8,635,€10–20,Bistro,11.253624998892692,True,"Via degli Scipioni, 24/26"
Pastasciutta,4.7,7176,€1–10,Italian,13.57849740373863,True," · Via delle Grazie, 5"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
Pinsa 'mpò - pinseria romana a roma prati vaticano,4.7,3568,€1–10,Pizza,12.879760493699902,True,"Via dei Gracchi, 7"
Vinsanto Vino & Cucina,4.7,1933,€10–20,Restaurant,12.266828479208332,True," · Viale dei Bastioni di Michelangelo, 31"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Vuliò,4.7,904,€10–20,Sandwich,11.506829360392176,True," · Via degli Scipioni, 55"
Fabric,4.7,445,€1–10,Coffee shop,10.79807428216624,True," · Via Marcantonio Colonna, 58"
L'altra Guancia,4.7,411,$$,Roman,10.718593214496234,True," · Via Pietro Giannone, 24"
Il Tagliere Toscano prati,4.7,383,€10–20,Restaurant,10.648034989180646,True," · Via Fabio Massimo, 75"
Il sorriso Pizza e Kebab,4.7,275,€1–10,Pizza,10.316771097666573,True," · Via dei Gracchi, 193 A"
Ristorante dei Musei,4.6,5854,€10–20,Restaurant,13.274880467251831,True," · Via Santamaura, 5"
Osteria Ragno d'oro,4.6,3883,€20–30,Roman,12.864363329731669,True," · Via Silla, 26"
Sfiziami Italian Bistrot,4.6,3343,€10–20,Italian,12.714623886420098,True,"Via degli Ombrellari, 7"
Ponte e Parione - Ristorante Piazza Navona,4.6,3197,€20–30,Restaurant,12.66996814905984,True," · Via di Santa Maria dell'Anima, 62"
La Locanda di Pietro,4.6,2200,€20–30,Restaurant,12.296212639346408,True," · Via Sebastiano Veniero, 28/c"
Neve di Latte,4.6,2019,$$,Ice Cream,12.210357618312838,True," · Via Federico Cesi, 1"
Il Pastaio di Roma,4.6,1833,€1–10,Restaurant,12.113709247839704,True,"Via dei Coronari, 102/103"
La Pratolina Cipro,4.6,1623,€10–20,Pizza,11.99203156751459,True,"Via Rialto, 16"
