name,rating,reviews,info,category,composite_score,high_review_flag,address
Il Gaudio Ristorante Roma San Lorenzo,4.9,309,4.9(309),Restaurant,10.633341276897744,True," · Via dei Volsci, 59"
Tonnarello Scala,4.8,12456,€10–20,Restaurant,14.229957713513834,True," · Piazza della Scala, 19/21"
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
CiPASSO,4.8,3988,$$,Restaurant,13.091045131081728,True," · Via Metastasio, 21"
Osteria Del Rione,4.8,889,€10–20,Roman,11.590097235513904,True," · Via Basento, 20"
Vox Populi,4.8,514,€1–10,Sandwich,11.042223265455164,True," · Via degli Equi, 59/61"
Broccia Circolo Cibo,4.8,309,€20–30,Restaurant,10.533341276897746,True," · Via degli Apuli, 43/44"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
Sofitel Roma Villa Borghese,4.7,847,4.7(847),5-star hotel,11.441700694652056,True,
53 Untitled,4.7,544,$$,Restaurant,10.998949246855943,True," · Via del Monte della Farina, 53"
Pizzeria Ennio&Osvaldo Roma (ANTICA ROMA),4.7,340,€1–10,Pizza Takeout,10.528945617610209,True,"Via degli Ausoni, 25"
La locanda del tempio,4.6,6665,€20–30,Roman,13.404625232612808,True," · Via di Pietra, 85"
Saltimbocca ristorante,4.6,4923,€20–30,Restaurant,13.1016733797582,True," · Via di Tor Millina, 5"
Ce Stamo A Pensà,4.6,3669,€10–20,Southern Italian,12.807674424355282,True," · Via Leonina, 81"
Taverna dei migliori,4.6,3652,€20–30,Italian,12.80303024171486,True," · Viale Manzoni, 107"
Mastrociccia - Osteria Pinseria,4.6,3544,€20–30,Restaurant,12.773011311724972,True," · Via del Governo Vecchio, 76"
Poldo e Gianna Osteria,4.6,2887,€20–40,Roman,12.567973179662935,True,"Vicolo Rosini, 6"
Rosemary terra e sapori,4.6,2078,€10–20,Italian,12.239161171659172,True," · Via Modena, 15"
Culinaria,4.6,1273,€20–40,Restaurant,11.749131598557408,True," · Via Gaeta, 81"
Bono Bottega Nostrana - Piazza Di Spagna,4.6,1207,€10–20,Sandwich,11.695893221097531,True," · Largo della Fontanella di Borghese, 85"
Ristorante Feelsgood,4.6,1182,€10–20,Restaurant,11.674963197966044,True,"Via Emanuele Filiberto, 162"
Saltimbocca San Lorenzo,4.6,1131,€10–20,Roman,11.63085747611612,True," · Via dei Falisci, 1/3,5"
Pizzeria Il Grano,4.6,1002,€10–20,Pizza,11.509753281644809,True," · Via degli Equi, 39"
'O Famo Strano,4.6,701,€1–10,Sandwich,11.15250788703459,True,"Viale dello Scalo S. Lorenzo, 11"
Locanda Meloni Ritrovo di Quartiere,4.6,339,€30–40,Restaurant,10.42600010738045,True," · Via Muzio Clementi, 13"
