name,rating,reviews,info,category,composite_score,high_review_flag,address
InRome Cooking Classes,5.0,1335,"5.0(1,335)",Restaurant,12.19668657083435,True,"Corso del Rinascimento, 65"
Poldo Panino League Roma,5.0,639,€1–10,Sandwich,11.459904454377536,True," · Via del Pellegrino, 107"
La Nuova Piazzetta Navona,4.9,5004,€20–30,Restaurant,13.417992871586804,True," · Via della Posta Vecchia, 4"
Quel che c’è laboratorio Di Cucina,4.9,1268,€10–20,Restaurant,12.045196134997171,True,"Via Torino, 129"
Osteria da Fortunata - Pantheon,4.8,3073,€20–30,Restaurant,12.830409562130484,True," · Piazza della Rotonda, 6"
Rione XIV Bistrot,4.8,1753,€20–30,Bistro,12.269083884921232,True,"Borgo Pio, 21"
Ristorante Dai Miei,4.8,1368,€20–30,Roman,12.021105098182495,True," · Via delle Fornaci, 75/77"
Taverna Lucifero,4.8,1205,$$,Restaurant,11.894234845924757,True," · Via del Monte della Farina, 43"
Sto Bene Roma,4.8,616,€1–10,Sandwich,11.22324696353352,True," · Piazza della Trinità dei Pellegrini, 88"
Rosina Cucina Di Casa,4.8,466,€20–30,Restaurant,10.944185634125644,True,"Vicolo delle Grotte, 27"
Casa Sceppa,4.8,285,€20–30,Restaurant,10.45248918026865,True," · Via Angelo Ranucci, 40/46"
Nannarella,4.7,33199,€20–30,Roman,15.11027503396902,True," · Piazza di S. Calisto, 7/a"
Otello,4.7,15015,€20–30,Roman,14.31680498041743,True,"Via della Pelliccia, 47/53"
Supplì Roma,4.7,4437,€1–10,Pizza,13.097733751378913,True," · Via di S. Francesco a Ripa, 137"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
La Prezzemolina,4.7,2607,€1–10,Pizza,12.5659554139335,True,"Via del Colosseo, 1 E/F"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Il Panino Ingegnoso,4.7,1589,€1–10,Sandwich,12.070860166536717,True," · P.za di Pietra, 35"
Anastasio,4.7,1323,€10–20,Restaurant,11.887657164114955,True,"Via Anastasio II, 440"
Il Tarallo,4.7,879,€20–30,Roman,11.478784897685175,True,"Vicolo della Scala, 3"
Est Artigiani del Gusto,4.7,876,$$,Restaurant,11.475366090936392,True," · Vicolo della Cancelleria, 11"
Clorofilla Cucina & Distillati,4.7,696,$$$,Restaurant,11.24534966033442,True," · Vicolo delle Grotte, 17"
New Food Gluten Free - Ponte Sisto,4.7,583,€1–10,Bakery,11.068187186350492,True," · P.za S. Vincenzo Pallotti, 208"
Zia Restaurant,4.7,557,€100+,Fine Dining,11.022565239927284,True," · Via Goffredo Mameli, 45"
Er pizzicarolo,4.7,490,€10–20,Sandwich,10.894405391104671,True,"Vicolo del Cinque, 39"
