name,rating,reviews,info,category,composite_score,high_review_flag,address
InRome Cooking Classes,5.0,1335,"5.0(1,335)",Restaurant,12.19668657083435,True,"Corso del Rinascimento, 65"
La Nuova Piazzetta Navona,4.9,5004,€20–30,Restaurant,13.417992871586804,True," · Via della Posta Vecchia, 4"
PanDivino - Focacceria Taperia,4.9,1063,€1–10,Sandwich,11.868850378341948,True," · Via del Paradiso, 39"
FIORE,4.9,729,€1–10,Pizza,11.49167373200866,True,"Piazza Pollarola, 29"
Rione XIV Bistrot,4.8,1753,€20–30,Bistro,12.269083884921232,True,"Borgo Pio, 21"
Taverna Lucifero,4.8,1205,$$,Restaurant,11.894234845924757,True," · Via del Monte della Farina, 43"
Pizzeria Italia dal 1987,4.8,1146,€1–10,Pizza,11.844032897274683,True,"Corso d'Italia, 103"
Amerina la Pizzetta,4.8,853,€10–20,Pizza,11.54875954749168,True,"Largo dei Librari, 82"
Reserva Restaurante y Cocteles,4.8,467,4.8(467),Latin American,10.946329257668896,True," · Via del Pellegrino, 160/164"
Rosina Cucina Di Casa,4.8,466,€20–30,Restaurant,10.944185634125644,True,"Vicolo delle Grotte, 27"
Piro',4.8,454,4.8(454),Seafood,10.918097198041348,True," · Vicolo della Cancelleria, 36"
Enea Ristorante,4.8,286,4.8(286),Restaurant,10.455991810819851,True,"Via Boncompagni, 83"
Ruma Bottega & Cucina Agricola,4.8,267,4.8(267),Bistro,10.38724865840025,True,"Via di Parione, 13"
Ristorante Pancrazio dal 1922,4.7,7532,€20–30,Roman,13.626915889777042,True," · Piazza del Biscione, 92"
Mimì e Cocò,4.7,7253,€20–30,Bistro,13.589170455363412,True,"Via del Governo Vecchio, 72"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
al42 by Pasta Chef rione Monti,4.7,5673,€10–20,Italian,13.343473357326566,True," · Via Baccina, 42"
Mariuccia,4.7,5511,€10–20,Pizza,13.314501373883235,True," · P.za della Cancelleria, 92"
Ristorante Pizzeria La Sagrestia,4.7,4836,€10–20,Restaurant,13.183843211734684,True,"Via del Seminario, 89"
Borghiciana Pastificio Artigianale,4.7,4073,€10–20,Restaurant,13.012135107648412,True," · Borgo Pio, 186"
Mercato Hostaria Roma,4.7,2945,€20–30,Restaurant,12.687864096085686,True," · Campo de' Fiori, 53"
Tora Sushi Restaurant,4.7,1974,€20–40,Japanese,12.287817219993428,True," · Corso del Rinascimento, 71"
Ristorante Virginiae - Cucina Tipica Romana,4.7,1779,€20–30,Roman,12.183806687665836,True,"Via di Parione, 41"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Chicken Hut,4.7,1474,€1–10,Doner kebab restaurant,11.995735072749282,True," · Corso del Rinascimento, 83"
