name,rating,reviews,info,category,composite_score,high_review_flag,address
Celio Bistrot,4.9,311,€20–40,Restaurant,10.639792912179235,True," · Via Celimontana, 21"
Verso Italian Coffee Home,4.9,291,€1–10,Coffee shop,10.573323267171492,True," · Viale della Piramide Cestia, 35"
Pinsitaly Trevi,4.8,3940,€10–20,Pizza,13.07893600229198,True," · Via della Panetteria, 12"
Sto Bene Roma,4.8,616,€1–10,Sandwich,11.22324696353352,True," · Piazza della Trinità dei Pellegrini, 88"
Pinsa & Gusto,4.8,523,€1–10,Pizza,11.059581464064925,True,"Piazza Pio XI, 47"
Nannarella,4.7,33199,€20–30,Roman,15.11027503396902,True," · Piazza di S. Calisto, 7/a"
Tira e Molla Roma,4.7,8934,€10–20,Italian,13.797619501912065,True," · Via Enna, 2"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
Supplì Roma,4.7,4437,€1–10,Pizza,13.097733751378913,True," · Via di S. Francesco a Ripa, 137"
Trieste Pizza,4.7,4360,€10–20,Pizza,13.08022733634308,True,"Via Urbana, 112"
Il Ritrovo a San Giovanni,4.7,1630,€20–30,Restaurant,12.09633529380081,True,"Via la Spezia, 36-42"
La Taverna Del Vicolo Roma,4.7,1466,€20–30,Restaurant,11.990292882446596,True," · Via Pietro Mengoli, 7"
Osteria del Cavaliere,4.7,972,€20–30,Restaurant,11.57935580446044,True," · Via Alba, 32"
Cuoco & Camicia,4.7,796,$$,Italian,11.379599185844384,True," · Via di Monte Polacco, 2/4"
HOSTARIA BENTU & SOI,4.7,597,$$,Sardinian restaurant,11.091917113392602,True," · Via Casilina, 65"
Zia Restaurant,4.7,557,€100+,Fine Dining,11.022565239927284,True," · Via Goffredo Mameli, 45"
Food Factory Trastevere,4.7,466,€1–10,Restaurant,10.844185634125646,True," · Piazza di S. Cosimato, 48/49"
Ristorante Ad hoc,4.7,317,4.7(317),Italian,10.45890177387728,True,"Via dei Cerchi, 75"
Trapizzino | Testaccio,4.6,5182,€1–10,Restaurant,13.152946361122057,True," · Via Giovanni Branca, 88"
Grano Trattoria,4.6,2820,€10–20,Italian,12.544492163932158,True," · Via Celsa, 7"
Pizzeria La Boccaccia,4.6,1753,€1–10,Pizza,12.069083884921234,True," · Via di Santa Dorotea, 2"
Trattoria Re di Roma,4.6,1721,€20–30,Roman,12.050660796211538,True," · Piazza dei Re di Roma, Via Tuscolana, 40a"
Le Levain Roma,4.6,1696,€1–10,Bakery,12.036027816351847,True," · Via Luigi Santini, 22"
Bottega Tredici,4.6,1379,"4.6(1,379)",Restaurant,11.8291138777933,True," · Via dei Falegnami, 14"
Meridionale Restaurant,4.6,1359,€20–30,Restaurant,11.814504414151145,True," · Via dei Fienaroli, 30/a"
