name,rating,reviews,info,category,composite_score,high_review_flag,address
Mr.Clood Bistrot,4.9,529,€20–30,Bistro,11.1709884318583,True,"Via Luciano Manara, 13"
Tonnarello Scala,4.8,12455,€10–20,Restaurant,14.22987742769628,True," · Piazza della Scala, 19/21"
Mimi e Coco Trast,4.8,4360,€20–30,Bistro,13.18022733634308,True," · Via della Scala, 1"
Angelo's,4.8,2627,€20–30,Restaurant,12.67359778968554,True," · Via di Porta Cavalleggeri, 45a"
Alice Pizza Trastevere,4.8,2417,€1–10,Pizza,12.590282380703483,True,"Via di S. Francesco a Ripa, 1"
Sesamo Trastevere,4.8,809,€10–20,Pizza,11.49579891705849,True," · Viale di Trastevere, 83"
Sto Bene Roma,4.8,616,€1–10,Sandwich,11.22324696353352,True," · Piazza della Trinità dei Pellegrini, 88"
Gusteria Al 17 Roma,4.8,579,€1–10,Pizza,11.161302477572995,True," · Via Natale del Grande, 17"
Rosina Cucina Di Casa,4.8,466,€20–30,Restaurant,10.944185634125644,True,"Vicolo delle Grotte, 27"
Enoteca CUVERIE,4.8,312,4.8(312),Restaurant,10.543003187809482,True,"Via Santa Cecilia, 1"
Tonnarello | Paglia,4.7,81118,€10–20,Roman,16.00366016368873,True," · V. della Paglia, 1/2/3"
Nannarella,4.7,33199,€20–30,Roman,15.11027503396902,True," · Piazza di S. Calisto, 7/a"
Otello,4.7,15015,€20–30,Roman,14.31680498041743,True,"Via della Pelliccia, 47/53"
Supplì Roma,4.7,4437,€1–10,Pizza,13.097733751378913,True," · Via di S. Francesco a Ripa, 137"
Cremì,4.7,629,$,Ice Cream,11.14413125670044,True," · Via di S. Agnese in Agone, 20"
Zia Restaurant,4.7,557,€100+,Fine Dining,11.022565239927284,True," · Via Goffredo Mameli, 45"
Ristorante daLù,4.7,533,4.7(533),Restaurant,10.978521424165844,True," · Via della Gensola, 58 a"
Er pizzicarolo,4.7,490,€10–20,Sandwich,10.894405391104671,True,"Vicolo del Cinque, 39"
Food Factory Trastevere,4.7,466,€1–10,Restaurant,10.844185634125646,True," · Piazza di S. Cosimato, 48/49"
Wiki wiki trastevere by pastamore.,4.6,7872,€10–20,Restaurant,13.571067438732088,True," · Piazza della Scala, 56"
Grazia & Graziella,4.6,7760,€20–30,Italian,13.556737613177264,True," · Piazza Scipione Ammirato, 7"
Trapizzino | Trastevere,4.6,7322,€10–20,Italian,13.49863879368018,True," · Piazza Trilussa, 46"
Trapizzino | Trastevere,4.6,7322,€10–20,Italian,13.49863879368018,True," · Piazza Trilussa, 46"
Tonnarello | Calisto,4.6,5065,€20–30,Roman,13.130109416682783,True,"Piazza di S. Calisto, 10"
Rione 13 Ristorante,4.6,3555,€20–30,Italian,12.776110342237342,True," · Via Roma Libera, 19"
