name,rating,reviews,info,category,composite_score,high_review_flag,address
InRome Cooking Classes,5.0,1335,"5.0(1,335)",Restaurant,12.19668657083435,True,"Corso del Rinascimento, 65"
Pane e Salame,4.8,6979,€10–20,Italian,13.650660919017152,True," · Via Santa Maria in Via, 19"
Pinsitaly Trevi,4.8,3940,€10–20,Pizza,13.07893600229198,True," · Via della Panetteria, 12"
Taverna Boccaccio,4.8,903,€20–30,Roman,11.605722553416983,True," · Via del Boccaccio, 24"
Ristorante L'Ulivo,4.8,881,4.8(881),Restaurant,11.58105762593618,True," · Via Monte Bianco, 23"
包味鲜 Bao's House Chinese Restaurant Fontana di Trevi,4.8,258,€10–20,Chinese,10.352959584921615,True,"Via dell'Umiltà, 32/32a"
Mimì e Cocò,4.7,7253,€20–30,Bistro,13.589170455363412,True,"Via del Governo Vecchio, 72"
Gandhi 2 Indian Restaurant,4.7,6032,€20–30,Indian,13.404833909687792,True," · Via Genova, 29/A"
Ristorante Pizzeria La Sagrestia,4.7,4836,€10–20,Restaurant,13.183843211734684,True,"Via del Seminario, 89"
Trattoria Della Stampa,4.7,3198,€20–30,Roman,12.7702808933939,True,"Via dei Maroniti, 32"
Ristorante Trattoria Antonio al Pantheon,4.7,2262,$$,Restaurant,12.424004656676065,True,"Via dei Pastini, 12"
La Salumeria,4.7,1607,€10–20,Restaurant,12.082124365737512,True," · Via del Banco di Santo Spirito, 24"
Chicken Hut,4.7,1474,€1–10,Doner kebab restaurant,11.995735072749282,True," · Corso del Rinascimento, 83"
La Cucina di San Pietro a Pettine,4.7,657,$$,Restaurant,11.18768401848461,True, · Località San Pietro a Pettine 10
Ristorante camere La Vecchia Posta,4.7,595,4.7(595),Restaurant,11.08856140554563,True,
Ristorante Maggiolini - Trevi,4.7,405,€20–30,Italian,10.70388706710654,True,"Via S. Francesco, 20"
Caffè Gotico,4.7,367,€1–10,Cafe,10.60536184805457,True,"Via della Stelletta, 7a"
Pizza in Trevi,4.6,7160,€20–30,Pizza,13.47626525995469,True," · Via di S. Vincenzo, 30/30A"
La locanda del tempio,4.6,6665,€20–30,Roman,13.404625232612808,True," · Via di Pietra, 85"
Saltimbocca ristorante,4.6,4923,€20–30,Restaurant,13.1016733797582,True," · Via di Tor Millina, 5"
Hedera - Osteria Contemporanea,4.6,3058,€20–30,Italian,12.625516386489007,True," · Vicolo Doria, 7"
Grano Trattoria,4.6,2820,€10–20,Italian,12.544492163932158,True," · Via Celsa, 7"
Prosciutteria Cantina dei Papi - Trevi,4.6,2656,€10–20,Sandwich,12.484576510596323,True," · Via della Panetteria, 34A"
Ristorante Agrodolce Roma,4.6,2506,€20–30,Restaurant,12.426443135456012,True,"Piazza dei Crociferi, 25"
Nanà Vini e Cucina,4.6,1809,€20–30,Italian,12.100529485395295,True," · Via della Panetteria, 37"
