name,rating,reviews,info,category,composite_score,high_review_flag,address
Pizzeria Italia dal 1987,4.8,1146,€1–10,Pizza,11.844032897274683,True,"Corso d'Italia, 103"
Osteria Del Rione,4.8,889,€10–20,Roman,11.590097235513904,True," · Via Basento, 20"
Breccia,4.8,834,€20–30,Restaurant,11.526233402358748,True," · Via Nomentana, 57-59-61"
STRADAROMANA Pizza & Grill,4.8,717,€20–30,Roman,11.37507584059962,True," · Via Teodorico, 34"
Ristorante Mamma Orso,4.8,436,€40–50,Italian,10.877642243349031,True," · Via Arezzo, 17"
Al Cantuccio,4.8,296,$$,Restaurant,10.49035945432406,True," · Via Tripoli, 71"
Sinfonia Del Gusto Ristorante,4.8,254,€30–40,Italian,10.337334267018536,True," · Via Reggio Emilia, 17"
Trieste Pizza,4.7,4360,€10–20,Pizza,13.08022733634308,True,"Via Urbana, 112"
Pinsere,4.7,3300,€1–10,Pizza,12.801677747454573,True,"Via Flavia, 98"
Suban,4.7,1628,€40–50,Diner,12.095107546562485,True," · Via Emilio Comici, 2"
Osteria Marise,4.7,1326,€20–30,Restaurant,11.889922170745807,True,"Via Felice Venezian, 11/f"
Buffet Clai,4.7,1034,€1–20,Buffet,11.641190055068376,True,"Via Ugo Foscolo, 4"
Rustiko,4.7,870,€20–30,Restaurant,11.46849321164863,True,"Via della Madonnina, 19a"
Bracerie Venete,4.7,843,$$$,Restaurant,11.436966958001856,True," · Via della Madonnina, 5"
Ristorante Trieste Mood,4.7,429,€20–30,Restaurant,10.761456918928015,True," · Via del Ponte, 6c"
Little Tripoli,4.7,397,€20–40,Kosher,10.683936280687192,True," · Via Cremona, 42"
Mirto Ristorante di Pesce,4.7,259,€30–50,Seafood,10.256828061699537,True," · Via Tirso, 46/48"
El Tiburon Trieste,4.7,256,€30–40,Mexican,10.245177444479562,True," · Via Malta, 12"
Arrecreate,4.6,1315,€20–30,Pizza,11.781591944611865,True," · Via Sirte, 32"
Trattoria Nerodiseppia,4.6,1094,$$,Seafood,11.597595982981924,True," · Via Luigi Cadorna, 23"
Alla Bella Trieste,4.6,965,€20–30,Restaurant,11.472128101338985,True," · Via Massimo D'Azeglio, 19"
Trattoria Mara,4.6,955,€20–30,Restaurant,11.46171134048073,True,"Via Vittoria Colonna, 5"
Hostaria G. Strehler,4.6,870,€20–30,Restaurant,11.36849321164863,True,"Via Giorgio Strehler, 5"
Hostaria ai 3 Magnoni,4.6,821,€50–60,Seafood,11.310523109452427,True," · Via dell'Eremo, 243"
I Belcastro,4.6,814,€20–30,Pizza,11.30196036600254,True," · Via Ajaccio, 47/49,51"
